Site,Num.of.Samples,betadisp
ECA2_0002,10,0.238716529045497
ECA2_0003,10,0.362884404529654
ECA2_0005,10,0.414568659937217
ECA2_0006,9,0.333936810108854
ECA2_0007,10,0.421303310551677
ECA2_0008,10,0.429901788758903
ECA2_0009,10,0.384278853789913
ECA2_0010,10,0.267666568868823
ECA2_0011,10,0.368452692776797
ECA2_0013,10,0.375879777434578
ECA2_0016,10,0.235593425604154
ECA2_0017,10,0.421140504563348
ECA2_0018,9,0.33615648959029
ECA2_0019,8,0.381734885786218
ECA2_0021,10,0.31054769844517
ECA2_0022,10,0.363833014659513
ECA2_0023,7,0.421898323918672
ECA2_0024,7,0.400279568590232
ECA2_0026,10,0.301177539839189
ECA2_0027,10,0.399422289612943
ECA2_0028,10,0.419884443520014
ECA2_0029,10,0.381305673567492
ECA2_0033,9,0.233626825103626
ECA2_0034,10,0.379851916623766
ECA2_0035,8,0.427602940343929
ECA2_0036,10,0.388753881151889
ECA2_0037,10,0.354373512744644
ECA2_0038,10,0.313528405779219
ECA2_0039,10,0.333369895495398
ECA2_0040,10,0.355145118853706
ECA2_0041,10,0.370885863053317
ECA2_0042,10,0.350209811084974
ECA2_0043,10,0.441116838841038
ECA2_0044,10,0.408017130583964
ECA2_0045,10,0.330219760370347
ECA2_0047,10,0.303418771030935
ECA2_0048,10,0.298777811073007
ECA2_0049,10,0.333067586676078
ECA2_0050,10,0.393027136405246
ECA2_0051,10,0.403590548127999
ECA2_0052,3,0.298845923758757
ECA2_0053,10,0.358419527680834
ECA2_0054,5,0.525005715366985
ECA2_0055,10,0.379871669363762
ECA2_0056,10,0.405550198674619
ECA2_0058,8,0.285619034191995
ECA2_0061,10,0.371261842619552
ECA2_0001,10,0.400667314863182
