,ECA2_0006_01.a_p1,ECA2_0006_02.a_p1,ECA2_0006_03.a_p1,ECA2_0006_04.a_p1,ECA2_0006_05.a_p1,ECA2_0006_06.a_p1,ECA2_0006_07.a_p1,ECA2_0006_09.a_p1,ECA2_0006_10.a_p1
200.115343856233,0,0,0,0,0,0,1,0,0
202.072069998959,0,0,0,0,0,0,1,0,0
203.001542631013,1,0,1,0,0,0,0,0,0
203.001940656736,1,0,1,0,0,0,1,0,0
203.071299410609,0,0,0,0,1,0,0,0,0
204.06661728324,0,1,0,0,0,0,0,0,1
205.014241315858,1,1,0,1,1,1,1,1,1
205.050629724349,1,0,0,0,0,1,1,0,1
206.082263331582,0,1,0,1,0,0,0,0,0
206.996851041709,0,0,1,0,0,0,0,0,0
207.029899091282,1,1,0,1,1,1,1,1,1
207.066283233563,1,0,0,1,1,1,1,1,0
207.069644633925,1,0,0,1,1,1,1,0,1
209.009149823193,1,1,0,1,1,1,1,1,1
209.045531739112,1,1,0,1,1,1,1,1,1
209.11832078918,1,0,0,0,0,0,0,0,0
211.024813932517,1,1,0,1,1,1,1,1,1
213.004047514803,0,0,0,0,0,0,0,1,1
213.124417403501,1,1,0,0,0,0,1,0,0
213.963804515613,0,0,0,0,0,0,0,1,0
216.087699739865,0,0,1,0,0,0,0,0,0
216.981186909717,0,0,0,0,0,1,1,0,0
217.035354402865,0,0,0,0,0,0,1,1,0
218.103380013694,1,1,1,1,1,1,1,1,1
218.13976834701,0,0,0,0,0,0,0,0,1
218.996831734425,1,0,1,1,0,0,0,0,0
219.029844142125,1,0,0,0,1,1,1,1,0
220.061483371627,1,0,0,0,0,0,0,0,0
221.009152912676,1,1,0,0,1,1,1,1,1
221.045505511615,1,1,0,1,1,1,1,1,1
221.08193544951,1,1,0,0,0,0,1,0,0
223.024764337093,1,1,0,1,1,1,1,1,1
223.061205057204,1,1,0,1,1,1,0,1,1
223.097537814546,1,1,0,1,1,1,0,1,1
225.004067850545,1,1,0,1,1,1,1,1,1
225.04042670604,1,1,0,1,1,1,1,1,1
227.019668270253,1,1,0,1,1,1,1,1,1
227.103712756213,1,1,0,0,0,0,1,0,1
227.140126711641,1,1,0,0,0,0,1,1,1
228.124070207313,0,0,0,0,0,0,0,0,1
229.035344803185,1,1,0,1,1,1,1,1,1
229.15578506445,0,0,0,1,0,1,0,1,0
231.029866623339,0,0,0,1,1,1,1,0,1
231.094527839644,0,0,0,0,0,0,0,1,0
232.976187242908,0,0,0,0,0,1,0,0,0
233.009163412669,1,1,0,1,1,1,1,1,1
233.012473971547,1,0,0,0,0,0,0,0,0
233.04552952382,0,0,0,1,1,1,1,1,1
233.081924619241,0,0,0,0,0,1,0,0,0
233.085278326514,0,0,0,1,0,0,0,0,0
233.08838038726,1,0,0,0,0,0,0,0,0
235.02482248343,1,1,0,1,1,1,1,1,1
235.028199992019,0,1,1,0,0,0,0,0,0
235.061203573925,1,1,0,1,1,1,1,1,1
235.097578928559,0,0,0,0,0,1,0,0,0
236.096197433397,0,1,0,0,0,0,0,0,0
237.004097825784,1,1,0,1,1,1,0,1,1
237.040483507492,1,1,0,1,1,1,1,1,1
237.076867410919,1,1,0,1,1,1,1,1,1
237.113244125764,0,1,0,1,1,1,0,0,1
238.114821958807,0,0,0,0,0,0,0,1,0
239.01970562526,1,1,0,1,1,1,1,1,1
239.056102990688,1,1,1,1,1,1,1,1,1
240.087752696221,1,0,0,0,0,0,0,0,0
240.999018091655,0,1,0,0,0,0,0,0,0
241.035404817619,1,1,0,1,1,1,1,1,1
241.046601866772,1,0,0,1,0,0,1,0,1
241.054065460522,0,1,0,0,0,0,0,0,0
241.082989319069,1,1,0,1,1,0,1,1,1
241.119381262082,1,1,0,1,0,0,1,0,1
242.067042011868,0,1,0,0,0,0,0,1,0
242.996882686786,0,0,0,0,0,0,1,0,0
243.014641879178,0,0,0,0,1,0,0,1,1
243.062251143185,0,1,0,0,0,0,0,0,0
243.06237560414,1,0,0,0,0,0,0,0,0
243.098649057827,1,0,0,0,0,1,1,0,1
243.171444942575,0,0,0,1,0,1,0,1,0
244.082677655809,0,0,0,0,1,0,0,0,1
244.13033161353,1,0,0,1,0,0,0,0,0
245.009147353027,0,0,0,0,0,0,0,1,0
245.012549866383,1,0,0,0,0,0,0,0,0
245.03027998601,0,1,0,0,0,0,1,0,1
245.045538737483,0,1,0,0,1,0,0,1,0
245.077972873672,1,0,0,0,0,0,0,0,0
245.084821387311,1,0,0,0,0,0,0,0,0
245.085297012592,1,0,1,0,0,0,0,0,0
245.114324215602,1,1,0,1,1,1,1,1,1
247.024814295629,1,1,0,1,1,1,1,1,1
247.028204403927,1,0,0,1,0,0,0,0,0
247.06117641442,1,0,0,1,1,1,1,1,0
248.953333688122,0,1,0,0,0,1,0,0,0
249.004086514732,0,1,0,1,1,1,1,1,1
249.040467863897,0,1,0,1,1,1,1,1,1
249.043829910249,1,1,1,1,0,0,1,1,1
249.047616695534,1,0,0,0,0,0,0,0,0
249.076889830027,1,0,0,0,1,1,0,1,1
249.080247670156,0,0,0,1,0,0,0,0,0
249.113254751525,0,1,0,0,1,0,0,1,0
249.116632593935,0,0,0,0,0,0,1,0,0
249.152981215788,0,1,0,0,0,0,1,0,0
250.072098410503,0,0,0,0,1,0,0,0,0
251.01976940635,1,1,1,1,1,1,1,1,1
251.033906022322,0,0,0,0,0,0,0,0,1
251.056133941414,1,1,0,1,1,1,1,1,1
251.07859958616,1,1,1,1,1,1,1,1,1
251.092496275315,1,1,0,1,1,1,1,1,1
251.103766666715,0,0,0,0,0,0,0,1,0
251.113635791176,0,0,0,0,1,0,1,0,0
251.132272245617,1,0,0,0,0,0,0,1,0
251.165286572202,0,0,0,0,0,0,0,0,1
252.99899212853,0,1,0,1,1,1,1,1,1
253.03538516246,1,1,1,1,1,1,1,1,1
253.180926979745,0,0,0,0,0,0,0,0,1
254.067040616627,0,0,0,0,0,0,0,0,1
255.014665808967,1,1,0,1,1,1,1,1,0
255.062297216038,1,1,1,1,1,1,1,1,1
255.069686139239,0,1,0,0,0,0,0,0,0
255.196579554938,1,0,0,0,1,0,1,1,1
257.009214699739,0,0,0,0,0,1,0,0,0
257.030318065288,1,1,0,1,1,1,1,1,1
257.041559017234,0,0,0,0,0,0,0,0,1
257.045543870561,0,1,0,1,0,1,0,1,1
257.077947553122,1,0,0,0,0,0,1,1,1
257.081989912799,0,0,0,1,1,1,0,0,0
257.085353119604,1,0,1,0,0,0,1,0,1
257.114316207114,1,1,0,1,1,1,1,0,1
258.09835108965,1,1,0,0,1,1,1,0,1
258.145973610707,1,1,0,1,1,1,0,1,1
259.009578823961,0,0,0,0,0,0,0,1,0
259.024846541681,1,0,0,1,1,1,1,1,1
259.028223572559,0,0,0,0,0,0,0,1,0
259.061211474333,0,0,0,0,1,0,0,0,0
259.09359254392,0,1,0,0,0,0,0,0,1
259.096624369109,0,0,1,0,0,0,0,0,0
259.100553370043,0,0,0,0,0,0,1,0,0
259.129974451967,1,1,1,1,1,1,1,1,1
259.191501035286,0,0,0,0,1,0,0,0,1
260.095784178823,0,0,1,0,0,0,0,0,0
261.004075995802,1,1,0,1,1,1,1,1,1
261.040499747034,1,1,0,1,1,1,1,1,1
261.043875774277,1,0,1,1,0,1,0,0,0
261.076848305366,1,0,0,1,1,1,1,1,0
261.080183936275,1,0,0,0,0,0,0,0,0
261.113272643658,0,0,0,1,0,0,1,0,0
261.116642352868,1,0,0,0,0,0,0,0,0
261.124472801397,1,1,0,0,0,0,0,0,1
261.955591546,0,0,0,1,0,0,0,0,0
262.100131005709,1,0,1,0,0,0,0,0,0
262.10858703746,0,0,1,0,0,0,0,0,0
263.019720608659,1,0,1,1,1,1,1,1,1
263.056162162984,1,1,1,1,1,1,1,1,1
263.059518354884,1,0,1,0,0,0,0,0,0
263.092501343246,1,1,0,1,1,1,0,1,1
263.095882245298,1,0,0,0,0,0,0,0,0
