,ECA2_0011_01.a_p1,ECA2_0011_02.a_p1,ECA2_0011_03.a_p1,ECA2_0011_04.a_p1,ECA2_0011_05.a_p1,ECA2_0011_06.a_p1,ECA2_0011_07.a_p1,ECA2_0011_08.a_p1,ECA2_0011_09.a_p1,ECA2_0011_10.a_p1
200.961138789634,0,0,0,0,0,0,0,1,0,0
200.986315118622,0,0,0,0,0,1,0,1,0,0
201.124444794287,0,0,0,0,0,0,0,0,0,1
204.058303567126,0,0,0,0,0,0,0,1,0,0
205.014241315858,0,1,0,0,0,1,0,0,0,0
206.022347861391,0,0,0,0,0,0,0,1,0,0
207.029899091282,1,0,0,0,0,0,0,0,1,0
207.087414714438,0,1,0,0,0,0,0,0,0,0
209.009149823193,1,1,0,0,0,0,0,0,0,0
209.089130749908,1,0,0,0,0,0,0,0,0,0
209.11832078918,0,0,1,0,0,0,1,0,0,0
211.024813932517,1,1,0,0,0,1,0,0,0,1
215.001964732155,0,0,0,0,0,0,0,1,0,0
215.07136265181,1,0,0,0,0,0,0,0,0,0
215.128909134367,0,0,0,1,0,0,0,0,0,0
216.087699739865,0,0,0,0,0,0,0,0,1,0
218.103380013694,0,0,0,0,1,0,0,0,0,0
218.176250319831,0,0,0,0,1,0,0,0,0,0
218.990947310208,0,0,0,0,1,0,0,0,0,0
221.012490360292,1,1,0,0,0,0,0,0,0,0
223.024764337093,1,1,1,0,0,1,0,0,0,1
223.061205057204,1,1,0,0,0,1,0,0,0,0
223.097537814546,0,1,1,1,1,1,1,1,0,0
225.04042670604,1,1,0,0,1,1,0,0,1,0
227.140126711641,0,0,0,0,0,0,0,0,0,1
227.165219614951,0,1,0,0,0,0,0,0,0,0
229.035344803185,0,0,0,0,0,1,0,1,0,0
229.15578506445,0,0,1,1,1,0,0,0,1,1
231.135001441115,0,0,0,0,0,0,0,0,1,0
231.953314429387,0,0,0,0,1,0,0,0,0,0
234.034171455869,0,0,0,0,0,1,0,0,0,0
235.02482248343,1,0,0,0,0,1,1,0,0,0
235.061203573925,1,1,0,0,0,0,0,0,0,0
236.095789293864,0,0,0,0,0,0,0,1,0,0
236.096197433397,0,0,0,0,0,1,0,1,1,0
237.040483507492,1,1,0,1,0,1,0,1,1,0
237.076867410919,1,0,1,1,0,1,1,1,1,0
237.113244125764,0,0,1,0,0,0,0,1,0,0
237.186020249536,0,1,0,0,0,0,0,0,0,0
238.072102331914,1,0,0,0,0,0,0,0,0,0
239.01970562526,1,1,0,1,0,0,0,0,0,0
239.056102990688,1,1,1,0,1,1,1,1,1,1
239.124818737401,0,0,0,1,0,0,0,0,0,0
241.035404817619,0,0,0,1,0,1,0,0,0,0
241.180897884247,1,1,0,0,0,0,0,0,0,0
243.171444942575,0,0,1,1,1,0,1,0,1,1
244.028558039663,0,0,0,1,0,0,0,0,0,0
245.012057565456,0,0,0,0,0,0,0,1,0,0
245.012549866383,0,0,0,0,0,0,1,1,0,0
245.085297012592,1,1,0,0,0,0,0,0,1,0
245.114324215602,1,1,0,1,0,0,0,0,0,1
247.024814295629,0,0,0,0,0,1,0,0,0,0
247.045920578637,1,0,0,0,0,0,0,0,0,0
247.061308046351,1,0,0,0,0,0,0,0,0,0
248.020070866887,0,0,0,0,1,0,0,0,0,0
249.004086514732,1,0,0,0,0,0,0,0,0,0
249.040467863897,1,1,0,0,0,1,0,0,1,0
249.043829910249,1,1,0,0,0,0,0,0,0,0
249.076889830027,0,0,0,0,0,1,0,0,0,0
249.152981215788,1,1,0,0,0,0,0,1,0,0
251.01976940635,1,1,0,1,1,1,0,0,1,1
