,ECA2_0019_01.a_p1,ECA2_0019_02.a_p1,ECA2_0019_04.a_p1,ECA2_0019_05.a_p1,ECA2_0019_07.a_p1,ECA2_0019_08.a_p1,ECA2_0019_09.a_p1,ECA2_0019_10.a_p1
200.017545626584,0,0,0,0,0,0,0,1
200.985997533943,0,0,0,0,1,0,0,0
200.986315118622,0,0,0,0,1,0,0,0
201.124444794287,1,0,1,1,1,0,1,1
206.150953503324,0,1,0,0,0,0,0,0
209.045531739112,1,0,0,0,0,0,0,0
209.094807182265,1,0,0,0,0,0,0,0
210.059344746585,0,1,0,0,0,0,0,0
211.024813932517,0,0,0,0,1,0,1,0
215.001964732155,1,0,0,0,1,0,0,0
215.074737196032,0,0,0,0,0,1,0,0
215.140113242026,0,0,0,0,1,0,0,1
217.119388146605,0,0,0,0,1,0,0,0
222.017243505073,0,0,0,0,0,0,1,0
223.097537814546,1,0,1,0,0,0,0,0
225.053346300421,0,1,0,0,0,0,0,0
227.140126711641,0,0,1,1,1,0,1,1
229.035344803185,0,0,0,0,0,1,0,0
229.15578506445,1,1,1,1,1,1,1,1
231.135001441115,0,0,0,0,1,0,1,0
231.160200192375,1,0,0,0,0,0,0,0
233.009163412669,0,0,0,1,0,0,0,0
233.085278326514,0,0,0,0,0,1,0,0
235.061203573925,0,1,0,0,0,0,0,0
235.108814655229,0,0,0,0,0,0,0,1
236.973999120006,0,0,0,0,0,1,0,0
237.040483507492,0,0,0,1,0,1,0,0
237.113244125764,0,0,0,0,0,0,0,1
237.149632382166,1,0,0,0,0,0,0,0
239.01970562526,0,0,0,0,0,1,0,0
239.056102990688,0,0,1,0,1,1,0,0
241.046601866772,0,0,0,0,1,0,1,1
243.171444942575,1,1,1,1,1,1,1,1
244.13033161353,0,0,0,0,1,0,1,0
245.114324215602,1,0,1,1,1,1,1,1
246.040801188528,0,0,0,0,0,0,0,1
247.028204403927,0,1,0,0,0,0,0,0
247.06117641442,0,0,0,0,0,1,0,0
249.004086514732,0,0,0,0,0,1,0,0
249.040467863897,1,0,0,0,0,0,0,0
249.152981215788,1,1,0,0,0,0,0,0
251.01976940635,0,0,0,1,0,0,0,0
251.078082541343,0,0,0,0,1,0,1,0
251.07859958616,1,1,1,1,1,1,1,1
251.103766666715,0,0,0,0,1,0,0,1
254.067040616627,1,0,0,0,0,0,0,0
255.062297216038,1,1,1,1,1,1,1,1
255.135089586504,0,0,0,0,1,0,0,0
255.955814487325,0,0,0,0,0,0,0,1
258.09835108965,0,0,0,0,0,0,0,1
258.145973610707,1,1,1,1,1,1,1,1
259.129974451967,1,1,1,1,1,1,1,1
259.191501035286,1,0,0,0,0,0,0,0
261.004075995802,0,0,1,0,0,1,0,0
261.170778997831,1,0,0,0,0,0,0,0
261.955591546,1,1,0,1,0,0,0,0
263.128918628623,0,0,0,0,0,1,0,0
263.140121306846,1,1,0,0,1,1,1,1
264.047399140689,0,0,0,1,1,1,1,1
264.051354076773,0,0,0,0,0,0,0,1
265.035416012644,0,0,1,0,0,0,0,0
265.057856790769,1,1,0,0,0,1,0,0
265.07175654152,0,1,1,0,0,1,1,0
265.082979576887,0,0,0,0,0,0,0,1
265.108161078953,1,0,1,0,0,1,0,0
265.119415187426,1,1,1,0,1,1,1,1
266.089479883299,1,1,1,1,1,1,1,1
266.994272940638,1,1,1,0,0,0,0,0
267.01468081692,0,0,0,0,1,1,1,0
267.051013014992,1,0,0,0,0,0,0,0
267.073503387235,1,1,1,1,1,1,1,1
267.196602454627,1,0,0,0,0,0,0,0
268.046339522371,1,1,0,0,0,0,0,0
269.030335719134,0,0,0,0,0,1,0,0
269.212206948243,1,0,1,0,0,1,1,0
271.049046037257,0,0,0,1,0,0,0,0
272.08882391248,1,0,1,0,0,0,0,0
