,ECA2_0023_01.a_p1,ECA2_0023_02.a_p1,ECA2_0023_03.a_p1,ECA2_0023_05.a_p1,ECA2_0023_08.a_p1,ECA2_0023_09.a_p1,ECA2_0023_10.a_p15
203.001940656736,0,0,0,0,0,0,1
209.009149823193,0,1,0,0,0,1,0
211.083767570433,0,0,0,0,1,0,0
213.004863317251,0,0,1,0,0,0,0
215.001964732155,1,0,0,0,1,0,0
218.103380013694,1,1,0,1,1,0,0
219.139058066111,0,0,0,1,0,0,0
221.012490360292,0,0,0,0,0,0,1
222.99177918861,0,0,0,1,0,0,0
223.053013535148,0,0,0,0,1,0,0
223.097537814546,1,0,1,1,1,0,1
225.04042670604,0,1,0,0,0,0,0
227.140126711641,1,0,0,0,0,1,0
235.02482248343,0,1,0,0,1,0,0
235.061203573925,0,0,0,0,1,1,0
237.034015307936,0,0,0,0,1,0,0
237.040483507492,0,1,0,0,0,1,0
237.076867410919,0,1,1,0,0,0,0
237.113244125764,1,0,1,1,0,0,0
239.03498258995,0,0,0,0,1,0,0
239.056102990688,0,1,0,0,1,1,0
241.046601866772,0,0,1,0,0,0,0
245.084821387311,0,0,0,0,0,0,1
245.085297012592,0,0,0,0,0,0,1
245.114324215602,1,1,1,1,1,1,0
247.939889960045,0,0,0,0,0,0,1
249.040467863897,0,0,0,0,0,1,0
249.043829910249,0,0,0,0,0,0,1
251.01976940635,0,1,0,0,0,0,0
251.056133941414,0,0,0,0,0,1,0
251.07859958616,1,1,1,1,1,1,1
251.092496275315,1,1,0,0,0,0,0
253.03538516246,0,1,0,0,0,0,0
254.953937876243,0,0,0,0,0,1,0
255.062297216038,1,1,1,1,1,1,0
255.069686139239,0,0,0,0,0,0,1
255.196579554938,0,0,1,0,0,0,0
257.084800758906,0,0,0,0,0,0,1
257.085353119604,0,0,0,0,1,0,1
257.212198821544,0,0,0,0,1,1,0
258.09835108965,0,0,1,0,0,0,0
258.989286885666,0,0,0,1,0,0,0
259.064557075396,0,0,0,1,0,0,0
259.096624369109,0,0,0,0,0,0,1
259.129974451967,1,1,1,1,1,1,1
259.191501035286,0,0,0,1,0,0,0
260.087861941188,0,0,0,0,1,0,0
261.955591546,1,0,1,1,1,1,1
262.100131005709,0,0,0,0,0,0,1
262.10858703746,0,0,0,0,0,0,1
263.056162162984,0,1,0,0,0,1,0
263.059518354884,0,0,0,0,0,0,1
263.128918628623,1,0,0,1,1,1,0
263.165265369389,1,1,0,1,1,0,0
264.047399140689,0,0,1,1,1,1,0
264.999853704141,0,0,0,0,0,0,1
265.035416012644,0,1,0,0,0,1,0
265.07175654152,1,1,1,0,1,1,0
265.108161078953,0,1,1,1,0,0,0
265.180917735873,1,0,1,1,1,1,0
266.089479883299,0,0,1,1,1,1,1
266.994272940638,0,0,0,0,1,1,0
267.051013014992,0,1,0,0,1,1,0
267.073503387235,0,0,1,0,1,1,1
267.196602454627,0,0,1,1,1,0,0
269.085344122802,0,0,0,0,0,0,1
269.212206948243,1,0,1,1,1,1,0
273.076885700268,0,1,0,0,0,0,0
273.080235019038,0,0,0,0,1,0,1
274.97106521367,0,0,0,0,0,1,0
275.019686012876,0,0,0,0,0,1,0
275.056123708709,0,0,0,0,0,1,0
275.059523164066,0,0,0,0,0,1,0
275.095894541533,1,1,0,0,1,1,1
277.035388091511,0,1,0,1,0,1,0
277.059631820522,1,1,1,1,1,1,1
277.071780747801,1,0,0,1,1,1,0
277.075138374456,0,0,0,0,0,0,1
277.108133008574,0,1,1,1,0,0,0
277.111485347462,0,0,0,0,1,0,1
279.05103605999,0,1,0,0,1,1,0
279.098603709576,0,0,0,0,1,1,0
280.060083430889,1,1,1,1,1,1,1
281.030306431672,0,0,0,0,0,1,0
281.048865745177,0,0,1,0,0,0,0
282.084373284142,0,0,1,0,0,0,0
283.04595745831,0,1,1,1,1,1,0
283.06461189858,0,0,1,0,0,0,0
283.068429772895,1,0,1,0,0,0,0
283.100967866495,0,0,0,0,0,0,1
283.137346800078,1,1,0,1,1,1,1
286.069715155874,0,0,0,1,0,0,0
287.055215643865,1,1,1,1,1,1,1
288.156510341019,0,1,0,0,0,0,0
289.104085758064,0,1,0,0,0,0,0
289.111520171072,0,0,0,0,1,1,1
291.031255819714,0,0,1,1,0,0,0
291.050985782488,0,0,0,0,0,1,0
291.090755523447,0,0,0,0,0,0,1
293.030316334653,0,1,0,0,0,1,0
293.066707280246,1,1,1,1,1,1,1
293.070069024992,0,0,0,0,0,0,1
293.10645314903,0,0,0,0,0,0,1
293.114267381535,1,1,1,0,1,1,1
294.028830388763,0,0,0,0,0,1,0
294.134803174829,0,0,0,1,0,0,0
295.04590311567,1,1,0,0,1,1,0
295.137369757887,0,1,0,1,1,0,1
297.08744391485,0,0,1,0,0,0,0
297.089862170587,0,0,1,0,0,0,0
297.116608279898,0,1,0,1,0,0,1
297.158356173741,0,0,0,0,1,0,0
299.040885905944,0,0,0,0,0,1,0
299.059458844511,0,0,1,0,0,0,0
299.066694166108,0,0,0,1,0,0,0
299.141917249727,1,0,0,1,1,0,0
299.157246356087,0,1,0,0,0,0,0
301.071730761426,1,0,0,0,0,0,0
301.084785218452,0,0,1,1,0,0,0
301.157568702067,1,1,1,1,1,1,0
302.13574432609,0,1,0,0,0,1,0
303.069521655947,0,0,0,0,0,0,1
303.173192746032,1,1,1,1,1,1,0
303.217659936381,1,1,1,1,1,1,1
304.00254759048,0,0,0,0,0,1,0
305.066654821895,0,0,0,0,0,1,0
305.077841070476,0,0,0,1,0,0,0
305.103064603926,0,1,0,1,0,1,0
305.106420819019,0,0,0,0,0,0,1
307.026168289049,0,0,1,1,0,0,0
307.045927506599,0,1,0,0,1,1,0
307.122104008955,0,0,0,0,0,0,1
308.073598048318,0,0,0,1,0,0,0
308.207932311867,0,0,0,1,0,0,0
309.101372678021,0,1,0,0,0,0,1
309.109211875195,0,1,1,0,0,0,0
309.132001993542,0,0,0,1,0,0,0
311.040842997254,0,0,0,0,1,1,0
311.117035068323,0,1,0,0,0,0,0
311.13223291676,0,1,0,1,0,0,1
312.984744940226,0,0,0,0,1,0,0
313.056500859105,1,1,1,1,1,1,0
313.078509429947,0,0,0,1,0,0,1
313.147853219841,0,1,0,1,1,0,1
313.172915189152,0,1,0,1,1,0,1
313.180873706298,0,0,1,0,0,0,0
314.172095976387,0,1,0,0,0,1,0
315.051086379127,0,0,0,0,0,1,0
316.151388768487,1,1,1,1,1,1,0
316.906844380498,0,0,0,1,0,0,1
317.066687796083,0,0,0,0,0,1,0
317.103096216893,0,0,0,0,0,1,0
317.212167373557,1,1,1,1,1,1,0
317.233373541543,0,0,1,1,1,1,0
318.062926110868,0,0,0,0,0,0,1
318.174428242002,1,0,0,0,0,0,0
318.22859727698,1,1,1,1,1,1,1
319.045941232075,0,1,0,0,1,1,0
319.082295876229,0,0,0,0,0,1,0
319.085647606549,0,0,0,0,1,0,0
319.118690232607,1,1,1,1,1,1,0
319.212583970764,0,1,0,0,0,0,0
320.059960837832,0,0,0,0,0,0,1
321.061551978378,0,1,0,0,1,1,0
321.097982635803,1,1,1,1,1,1,0
321.137756545737,0,1,0,0,1,1,1
321.174131092406,0,1,0,1,1,0,0
322.129722098702,0,0,0,0,1,0,0
322.187167160996,1,1,1,1,1,1,0
323.021080793605,0,0,1,0,0,0,0
323.040869446973,0,1,0,0,1,1,0
323.16866461507,1,1,0,1,1,1,1
325.056517335562,1,1,1,1,1,1,0
325.147929172056,0,1,0,1,1,0,1
327.075474000955,0,0,1,0,0,0,0
327.087345024074,0,0,0,0,0,1,0
327.188493868284,1,1,0,1,1,1,0
328.151343467021,0,1,0,0,0,0,0
329.051455290203,0,0,0,0,0,1,0
329.079723149283,0,0,1,0,0,0,0
329.139390121741,0,0,0,1,0,0,0
330.167007082931,1,1,1,1,1,1,0
330.203459960572,0,1,0,0,0,1,0
330.922483564988,1,1,1,1,0,0,1
331.082339553397,0,1,0,0,0,1,0
331.19150873051,1,1,1,1,1,0,0
332.146372028282,0,1,0,1,0,0,0
333.025203537804,0,0,0,0,0,1,0
333.061621279429,1,1,0,0,0,1,0
333.13431589464,0,0,1,0,0,1,0
333.174167775201,0,1,0,0,0,0,0
333.207151807676,1,1,1,1,1,1,0
334.069808904048,0,0,0,1,0,0,0
335.00305254878,0,0,1,1,0,0,1
335.040827177713,0,1,0,0,1,1,0
335.077281643427,1,1,1,0,1,1,0
335.189796200668,0,1,0,0,1,0,0
336.028701162973,0,0,0,0,0,1,0
336.145208335093,0,0,0,1,0,0,0
337.056543872599,0,1,1,1,1,1,1
337.143151696022,0,0,0,0,0,0,1
337.169061311021,0,0,0,1,0,0,0
337.184266280886,1,1,0,1,1,1,0
337.238402069644,0,0,0,0,1,0,0
339.048785586934,0,0,0,1,0,0,0
339.060713209091,0,0,0,0,0,0,1
339.063219704015,0,0,0,0,0,0,1
339.185963630266,0,1,0,0,1,0,0
340.197706101679,0,0,1,1,1,0,0
341.030286778022,0,0,0,0,0,1,0
341.051432806298,0,1,0,0,1,1,0
341.079710504834,0,0,0,0,0,1,0
341.142820338194,0,0,0,0,0,0,1
341.204180987506,0,1,0,0,1,0,0
341.995955314046,0,0,0,0,1,0,0
342.167025057996,1,1,1,1,1,1,0
343.082325259695,0,0,0,0,1,0,0
343.116453535533,0,0,0,0,0,1,0
343.118642673311,0,0,0,0,0,1,0
343.158478469459,0,1,0,1,0,0,1
343.165714993426,0,0,1,1,0,0,0
344.078469280713,0,0,0,0,0,0,1
344.14636642831,0,0,0,0,0,1,0
344.18266441874,1,1,1,1,1,1,0
344.93818067422,1,0,0,0,0,0,0
345.061609991528,0,0,0,0,0,1,0
345.095728379067,0,1,0,0,0,1,0
345.097937172215,1,1,0,0,1,1,0
345.134332592676,0,1,0,0,0,1,0
345.170766400863,1,0,1,1,1,1,0
345.177965934384,0,1,0,0,0,0,0
345.256530360054,1,1,1,0,1,0,0
345.974933798153,1,0,0,0,1,1,0
347.04083035272,0,0,0,0,0,1,0
347.041016822228,0,0,0,0,1,0,0
347.077228409431,0,1,0,0,1,1,0
347.113629831415,1,1,0,1,0,1,0
347.149943444748,0,1,1,1,1,1,0
347.189750601143,0,1,0,0,0,0,0
347.226176343939,0,1,0,0,0,0,0
348.073379560045,0,0,0,0,0,0,1
349.056496668412,0,1,0,0,1,1,0
349.059870966296,0,0,1,0,0,0,0
349.092918031447,0,1,0,1,1,1,0
349.169023346464,0,1,0,0,0,1,0
349.234434520702,0,0,0,0,0,0,1
351.034395775215,0,0,1,1,0,0,1
351.035766012244,0,0,0,0,0,1,0
351.054289053487,0,0,0,0,0,0,1
351.072138333567,1,1,1,0,1,1,1
351.108582655515,1,1,1,0,1,1,0
351.148261776868,0,0,0,0,0,0,1
351.184682919914,1,1,0,1,1,1,0
352.033905622338,0,0,0,1,0,0,0
352.234072183858,0,0,0,0,1,0,0
353.049035877635,1,1,1,1,0,0,1
353.05141925999,1,1,1,1,1,1,0
353.215649900355,1,1,0,0,1,1,0
354.213353155587,0,0,1,1,0,0,0
355.088935430231,0,0,0,0,0,0,1
355.095337681225,1,1,0,0,1,1,0
355.158410308014,0,0,0,0,0,0,1
355.16811528018,0,1,0,1,0,1,0
356.182767131936,0,1,1,0,0,1,0
357.046380027556,0,0,0,0,0,1,0
357.052557818741,0,0,0,0,0,0,1
357.079518760905,0,1,0,0,0,0,0
357.095758160634,0,1,0,0,0,1,0
357.137710503365,0,0,0,0,0,0,1
357.144943723613,0,0,0,1,0,0,0
357.174148969742,0,1,0,1,0,0,1
357.2070895297,1,0,0,0,0,0,0
358.198353257738,1,1,1,1,1,1,0
359.038347240969,0,0,0,0,0,0,1
359.040827605703,0,0,0,0,0,1,0
359.061939001258,0,0,0,0,1,1,0
359.075015225637,1,1,1,1,1,0,0
359.077232277101,0,1,0,0,0,1,0
359.111377458472,0,1,0,0,0,1,0
359.113577261528,0,0,0,0,0,1,0
359.150035089665,0,0,0,0,0,1,0
359.160686768345,0,0,1,0,0,0,0
359.96170524757,1,0,0,0,0,0,0
359.990579441568,0,0,0,0,1,1,0
360.17765654334,1,1,1,1,1,1,0
360.23918533,0,0,0,1,0,0,0
361.056450883082,0,1,0,0,1,1,0
361.092917492873,0,1,0,0,1,1,0
361.096250604741,0,0,1,0,0,0,0
361.129228263743,1,1,1,0,1,1,0
361.157721645408,0,0,1,0,0,0,0
361.165636188115,0,1,1,1,0,1,0
362.210329161859,0,1,0,0,0,0,0
363.03578042413,0,0,0,0,0,1,0
363.072081802094,1,1,0,0,1,1,0
363.075462544939,0,0,1,0,0,0,0
363.10858231203,1,1,1,1,1,1,0
363.184738649462,0,1,0,0,0,0,0
363.221035679529,0,0,0,0,0,1,0
364.070277823938,0,0,0,1,0,0,0
365.051447751813,0,1,1,0,1,1,0
365.087779048533,1,1,1,1,1,1,0
365.163923618487,0,1,0,0,0,0,0
365.200263475775,0,1,0,1,0,0,0
365.233347438082,0,0,0,1,0,0,0
366.049601592309,0,0,1,1,0,0,1
366.180116546856,0,1,0,0,0,0,0
367.029280400029,1,1,1,1,0,0,0
367.030630584968,0,0,0,0,1,0,0
367.064638708899,0,0,0,1,0,0,0
367.06706934349,1,1,1,0,1,1,1
367.106751921934,0,0,1,0,0,0,0
367.179541074558,0,1,0,0,0,0,0
367.21599116063,0,1,1,1,1,1,1
367.231203934248,0,1,0,0,1,1,0
369.026230545214,0,0,1,1,0,0,0
369.046310964264,0,0,0,0,1,1,0
369.122386957516,0,1,1,0,0,0,0
369.174090217447,0,0,0,1,0,0,1
370.130606874783,0,1,0,1,1,1,1
371.061971237483,0,1,0,0,1,1,0
371.077218054152,0,0,0,0,0,1,0
371.090292370366,0,1,0,0,0,1,0
371.15332141602,0,0,0,0,0,0,1
371.189744666485,0,0,0,1,0,0,1
372.085527848025,0,0,1,0,0,0,0
372.21396446099,1,1,1,1,1,1,0
373.02729491599,0,0,0,0,1,0,0
