,ECA2_0038_01.a_p1,ECA2_0038_02.b_p1,ECA2_0038_03.a_p1,ECA2_0038_04.a_p1,ECA2_0038_05.a_p1,ECA2_0038_06.a_p1,ECA2_0038_07.a_p1,ECA2_0038_08.a_p1,ECA2_0038_09.a_p1,ECA2_0038_10.a_p1
207.029899091282,1,0,0,0,0,0,0,0,0,1
207.034522356754,0,0,0,0,0,1,0,0,0,0
209.009149823193,1,1,1,1,0,0,1,1,1,0
209.045531739112,1,0,0,1,0,0,1,1,0,0
210.095719354528,0,1,0,0,0,0,0,0,0,0
211.024813932517,0,0,0,1,0,0,0,1,0,0
213.963804515613,0,0,0,0,0,0,0,1,0,0
215.001964732155,0,0,0,0,0,0,0,0,0,1
215.128909134367,0,0,0,1,0,0,0,0,0,0
215.151399962931,0,1,0,0,0,0,0,0,0,0
218.103380013694,0,0,0,0,0,0,0,0,1,1
221.009152912676,0,1,0,0,0,0,0,0,0,0
223.024764337093,1,1,0,1,1,1,0,1,0,0
223.024893999053,0,0,1,0,0,0,0,0,0,0
223.061205057204,0,0,1,0,0,0,0,0,0,0
223.097537814546,0,0,0,1,0,1,1,0,1,0
224.140405053555,0,0,0,0,1,0,0,0,0,0
225.004067850545,0,0,1,0,0,0,0,1,0,1
225.04042670604,1,0,0,1,0,0,1,1,0,0
229.035344803185,0,0,0,0,0,0,0,0,0,1
230.176226310921,0,0,0,0,0,0,0,0,0,1
233.009163412669,0,0,0,0,1,1,0,0,0,0
233.04552952382,0,0,0,0,0,0,0,1,0,0
235.02482248343,1,1,0,1,1,1,0,1,0,0
235.061203573925,0,1,0,1,1,0,1,0,0,0
237.040483507492,1,0,0,1,1,0,1,1,1,1
237.076867410919,1,1,0,0,1,1,0,1,1,0
239.01970562526,1,1,1,1,1,1,1,1,0,1
239.03498258995,1,0,0,0,0,1,0,0,0,0
239.056102990688,1,1,1,1,1,1,1,1,1,1
241.035404817619,0,0,1,0,1,0,0,0,0,0
243.033294284009,1,0,0,0,1,0,0,0,0,0
245.045538737483,0,0,0,0,0,0,0,1,0,0
245.114324215602,0,0,0,0,0,0,0,0,1,0
247.024814295629,0,1,0,1,0,1,1,1,0,0
247.939889960045,0,0,0,0,0,0,0,0,0,1
249.004086514732,0,1,0,1,0,0,0,0,0,0
249.040467863897,1,1,0,0,1,1,1,1,1,1
249.076889830027,1,1,0,0,0,0,0,0,0,0
249.152981215788,0,1,0,0,0,0,0,0,0,0
251.01976940635,1,1,1,1,1,1,1,1,1,1
251.056133941414,1,1,1,1,1,1,1,1,1,0
251.07859958616,0,0,0,0,0,1,0,0,1,1
251.092496275315,1,1,0,1,1,1,1,1,0,0
251.165286572202,0,0,1,0,0,0,0,0,0,0
251.984956499337,0,0,0,0,0,0,1,0,0,0
252.969617168754,0,1,0,0,0,0,0,0,0,0
253.03538516246,1,1,1,1,1,1,1,1,1,1
255.014665808967,1,0,0,0,0,0,0,0,0,0
255.062297216038,1,1,1,1,1,1,1,0,1,1
255.066322802143,0,0,0,0,0,0,0,1,1,0
255.090810207173,0,0,0,0,1,0,0,0,0,0
257.030318065288,0,1,1,0,1,1,0,0,0,0
257.045543870561,0,0,0,0,0,0,0,0,1,0
257.048912729196,1,1,0,0,1,1,0,0,0,0
259.024846541681,0,0,0,0,0,0,0,1,0,0
259.129974451967,1,0,0,1,1,1,1,1,1,1
259.191501035286,0,0,0,1,0,0,0,0,0,0
261.040499747034,1,1,0,1,1,1,0,1,0,0
261.076848305366,0,0,0,0,0,0,1,1,0,0
261.955591546,1,1,0,1,1,1,1,1,1,1
263.019720608659,1,1,1,1,1,1,1,1,0,0
263.056162162984,1,1,1,1,1,0,1,1,1,1
263.082575214911,0,0,0,0,0,0,0,0,0,1
263.092501343246,1,1,0,1,0,0,1,1,0,0
265.035416012644,1,1,1,1,1,1,1,1,1,1
265.07175654152,1,1,0,1,1,1,1,1,1,1
265.108161078953,1,1,0,1,0,1,1,1,1,1
266.994272940638,1,1,1,1,1,1,1,1,1,1
267.01468081692,1,1,1,1,1,1,1,1,0,1
267.051013014992,1,1,1,1,1,1,1,1,1,1
267.073503387235,1,0,0,0,0,0,0,0,0,0
269.030335719134,1,1,1,1,1,1,1,1,1,1
269.081964016592,0,0,0,0,0,1,0,0,0,0
269.212206948243,0,0,0,0,1,0,0,1,1,0
270.061980946967,0,0,0,1,0,0,0,0,0,0
271.014245403059,0,0,0,0,0,0,0,0,1,0
271.024834307558,0,1,0,0,0,0,0,0,0,0
271.061192022869,0,0,0,0,0,0,0,1,0,0
271.06457499118,1,0,0,1,1,0,0,0,0,0
273.040493461949,1,1,0,1,1,0,1,1,1,1
273.047482249993,0,0,0,1,0,0,0,0,0,0
273.076885700268,0,0,0,0,0,0,1,1,0,0
273.145567033916,0,0,0,0,0,0,0,1,0,0
275.019686012876,0,1,0,1,1,1,1,1,1,0
275.040884998183,0,0,0,0,0,0,0,0,0,1
275.056123708709,1,1,1,1,0,1,1,1,0,1
275.092536767002,1,1,0,0,0,0,1,0,0,0
276.99896902096,0,0,1,0,0,0,0,0,0,0
277.035388091511,1,1,1,1,1,1,1,1,0,0
277.056508728938,0,0,0,0,0,0,0,0,1,0
277.059631820522,1,1,1,1,1,1,1,1,1,1
277.071780747801,1,1,1,1,0,1,1,1,1,1
277.108133008574,1,1,0,1,0,1,1,1,0,0
279.014622292583,1,1,1,1,1,1,1,1,1,1
279.05103605999,1,1,1,1,1,1,1,1,1,1
279.108530479479,0,0,1,0,0,0,0,0,1,0
279.184169180435,0,0,0,0,0,0,0,1,0,0
280.060083430889,1,0,0,0,0,0,1,1,1,1
281.030306431672,1,1,1,1,1,1,1,1,1,1
282.061888615183,0,0,0,0,0,0,0,1,0,0
282.120341144951,0,0,0,0,1,0,0,0,0,0
283.009605343612,1,0,0,0,0,0,0,1,0,0
283.04595745831,1,1,1,1,1,1,1,1,1,1
283.100967866495,0,0,0,0,0,0,0,0,1,1
283.137346800078,0,1,0,1,0,0,0,0,1,1
284.033757482201,0,0,0,0,0,0,0,0,0,1
284.084596410051,0,0,0,0,0,0,0,0,0,1
284.090322906919,0,0,0,0,0,1,0,0,0,0
285.025195022631,1,1,0,1,1,0,0,1,0,0
285.040424086902,0,1,0,0,0,0,1,1,0,0
285.076811975257,0,0,0,0,0,0,0,0,1,0
285.116568006492,0,0,0,0,1,0,0,0,0,0
287.019652973634,0,0,0,1,1,0,0,1,0,0
287.040868822099,1,1,1,1,1,1,1,1,0,1
287.055215643865,0,0,0,0,0,0,1,0,1,1
287.056056994507,0,0,1,0,0,1,0,1,0,0
289.035335238622,1,1,1,1,1,1,1,1,0,1
289.071733504922,0,1,0,0,0,0,0,1,1,0
289.108143001339,0,0,0,0,0,0,1,0,0,0
291.014598605754,1,1,1,1,1,1,1,1,1,1
291.050985782488,1,1,1,1,1,1,1,1,1,1
293.030316334653,1,1,1,1,1,1,1,1,1,1
293.066707280246,1,1,1,1,1,1,1,1,1,1
293.07787801187,0,0,1,0,0,0,0,0,0,0
293.114267381535,1,0,0,0,0,1,0,0,1,1
295.00951132373,1,1,1,1,1,1,0,1,0,1
295.04590311567,1,1,1,1,1,1,1,1,1,1
295.133908405647,0,0,0,0,0,0,0,0,1,0
295.19144189826,0,0,0,0,0,0,0,1,0,0
296.100059394463,0,0,0,0,1,0,0,0,0,0
297.025193164039,1,1,1,1,1,1,1,1,1,1
297.116608279898,0,0,0,0,0,0,0,0,0,1
297.243503391361,1,0,0,0,0,0,0,0,0,0
299.019723068594,0,0,0,0,0,0,0,1,0,0
299.040885905944,1,1,1,1,1,1,1,1,1,1
299.056107822858,0,0,1,0,0,0,0,1,0,0
299.092465654528,0,0,0,0,1,0,0,0,0,0
300.072452790186,0,1,0,0,0,0,0,0,0,0
301.035341309197,1,1,1,1,1,0,1,1,0,1
301.071730761426,1,1,1,1,0,1,1,1,0,0
301.084785218452,0,1,0,1,0,0,0,0,0,0
301.157568702067,0,0,0,0,0,0,1,1,0,0
303.014615944586,0,1,1,1,0,1,1,1,0,0
303.051014761484,1,1,0,1,1,1,1,1,1,1
303.087420249974,1,1,0,1,0,1,0,1,1,0
303.173192746032,1,1,1,1,1,0,0,1,1,0
303.217659936381,1,0,0,1,1,1,1,1,1,1
304.00254759048,1,1,0,1,0,0,1,0,1,0
304.134433325475,1,0,0,0,0,0,0,0,0,0
305.030274203965,1,1,1,1,1,1,1,1,1,1
305.066654821895,1,1,1,1,1,1,1,1,1,1
305.070009125444,0,0,1,0,0,0,0,0,0,0
305.077841070476,0,0,0,0,0,0,1,0,1,0
305.103064603926,1,1,0,1,0,0,1,1,0,0
305.139456921456,1,1,0,0,0,0,0,0,0,0
305.165227154888,0,0,0,0,0,1,0,0,0,0
307.009519970076,1,1,1,1,1,1,1,1,1,1
307.026168289049,0,1,0,1,0,1,1,1,1,1
307.045927506599,1,1,1,1,1,1,1,1,1,1
308.077605234938,1,1,0,0,0,0,1,0,0,0
309.02518522443,1,1,1,1,1,1,1,1,1,1
