,ECA2_0052_01.a_p1,ECA2_0052_05.a_p1,ECA2_0052_10.a_p1
201.124444794287,0,0,1
213.124417403501,0,0,1
221.08193544951,0,1,0
222.985844757644,0,0,1
223.097537814546,0,1,0
227.140126711641,0,1,0
229.15578506445,0,1,1
233.005948105482,0,0,1
234.026409127269,1,0,0
237.040483507492,0,0,1
239.056102990688,0,0,1
240.978670692191,1,0,0
241.035404817619,0,0,1
241.046601866772,0,1,1
243.171444942575,0,1,0
244.082677655809,0,1,0
245.114324215602,1,1,1
247.024814295629,0,0,1
251.01976940635,1,0,0
251.07859958616,0,1,1
251.103766666715,0,0,1
255.062297216038,0,1,1
258.09835108965,0,0,1
258.145973610707,0,1,1
259.100553370043,0,0,1
259.129974451967,1,1,1
259.191501035286,0,0,1
261.955591546,1,1,0
263.019720608659,0,0,1
263.056162162984,0,0,1
263.092501343246,0,0,1
265.035416012644,0,0,1
265.057856790769,0,1,0
265.07175654152,1,1,1
265.108161078953,0,1,1
266.089479883299,0,1,1
267.01468081692,0,0,1
267.051013014992,1,0,1
267.057393634298,0,0,1
267.073503387235,0,1,1
269.212206948243,0,1,1
275.056123708709,0,0,1
277.035388091511,1,0,1
277.059631820522,1,1,1
277.071780747801,1,0,1
277.108133008574,1,0,1
277.155803904556,0,1,1
279.05103605999,1,1,0
279.06634875781,0,0,1
280.060083430889,0,1,1
282.084373284142,0,0,1
283.04595745831,1,0,1
284.161546932859,0,1,0
286.17717909044,0,1,0
287.055215643865,0,1,1
288.156510341019,0,1,1
289.035335238622,0,0,1
291.031255819714,0,0,1
291.050985782488,1,0,1
293.030316334653,1,0,0
293.066707280246,1,1,1
293.114267381535,1,1,1
293.15064965365,0,1,1
293.165195385237,0,0,1
295.04590311567,1,0,1
295.100453954138,0,1,0
295.227829671269,0,0,1
296.100059394463,0,1,0
299.040885905944,0,0,1
299.088512075541,0,1,0
300.192899891053,0,1,0
301.071730761426,0,1,1
301.084785218452,1,0,0
301.157568702067,0,0,1
302.172131462719,0,1,1
303.069521655947,0,1,1
303.087420249974,0,1,1
303.173192746032,0,1,1
303.217659936381,1,0,1
305.030274203965,1,0,1
305.066654821895,0,0,1
305.103064603926,1,1,1
305.139456921456,0,0,1
307.009519970076,0,0,1
307.026168289049,0,1,1
307.045927506599,1,1,1
308.077605234938,1,0,0
308.138234674506,0,1,0
309.02518522443,0,0,1
309.109211875195,1,1,1
311.040842997254,0,0,1
313.056500859105,1,1,1
313.078509429947,0,0,1
314.208478741839,0,1,0
315.167365960132,0,1,1
316.151388768487,1,1,1
316.187805194354,0,1,1
316.906844380498,1,1,0
317.051456086289,0,0,1
317.088559715049,0,1,0
317.212167373557,0,0,1
317.233373541543,1,0,1
319.045941232075,1,1,1
319.082295876229,1,0,1
319.085647606549,1,1,0
321.025154726554,0,0,1
321.061551978378,1,1,1
321.097982635803,1,1,1
322.187167160996,1,1,1
323.040869446973,1,1,1
324.133154679663,0,1,1
325.056517335562,1,1,1
327.035717224585,1,0,1
329.051455290203,1,0,1
329.079723149283,1,0,0
329.18298747086,0,1,0
330.167007082931,1,1,1
330.203459960572,0,1,1
330.922483564988,1,1,1
331.04599443956,0,0,1
331.082339553397,0,1,1
332.146372028282,0,0,1
333.025203537804,0,0,1
333.061621279429,0,1,1
333.089811856232,1,0,0
333.104194363749,0,0,1
333.13431589464,1,0,0
333.207151807676,0,1,1
334.223493066238,0,1,0
335.00305254878,0,0,1
335.040827177713,1,1,1
335.077281643427,1,1,1
336.145208335093,1,0,0
337.020135431421,0,0,1
337.056543872599,1,1,1
338.016122114762,1,0,0
339.035826927654,0,0,1
341.051432806298,1,1,1
341.067488290948,1,1,0
342.167025057996,0,1,1
343.080121250137,1,0,0
343.116453535533,0,0,1
343.198703463502,0,0,1
344.18266441874,1,1,1
344.93818067422,1,0,0
345.061609991528,0,1,1
345.095728379067,1,1,1
345.097937172215,1,0,0
345.177965934384,0,1,1
345.974933798153,1,0,0
347.04083035272,1,0,1
347.077228409431,1,1,1
347.113629831415,1,0,1
347.149943444748,0,0,1
348.072413958191,0,1,1
349.020115304537,0,0,1
349.056496668412,1,0,0
349.092918031447,1,1,0
350.135687001706,0,1,0
350.185143712163,0,1,1
351.034395775215,0,1,1
351.035766012244,0,0,1
351.054289053487,0,0,1
351.072138333567,0,1,1
351.108582655515,1,1,0
353.049035877635,1,1,1
353.05141925999,1,1,1
353.085440918198,1,0,0
354.213353155587,1,0,0
357.046380027556,0,0,1
357.095758160634,1,0,1
357.214251336409,0,1,1
358.198353257738,1,1,1
359.040827605703,0,0,1
359.04417897517,0,1,0
359.061939001258,0,0,1
359.077232277101,0,1,1
359.111377458472,1,1,1
359.193602610788,0,0,1
360.141194320716,0,0,1
360.17765654334,0,1,1
361.020203202757,0,0,1
361.056450883082,1,0,1
361.092917492873,1,1,1
361.129228263743,1,0,1
362.088049958924,1,0,0
363.03578042413,1,0,1
363.072081802094,1,1,1
363.10858231203,1,1,1
364.067358096948,1,0,0
364.070277823938,1,0,0
364.10386330536,1,0,0
364.115129487384,0,0,1
365.051447751813,1,1,1
365.087779048533,1,1,1
365.158114132027,0,0,1
366.049601592309,0,0,1
366.083006492122,1,0,0
366.180116546856,0,1,1
367.029280400029,0,0,1
367.030630584968,0,0,1
367.06706934349,1,1,1
367.21599116063,0,0,1
369.046310964264,1,1,1
369.072212276688,1,0,0
371.051483688559,1,0,0
371.061971237483,1,1,1
371.077218054152,0,0,1
371.090292370366,1,0,1
371.229951513963,0,1,0
372.21396446099,1,1,1
373.054865091615,1,1,0
373.056476136202,0,0,1
373.092863986741,1,0,0
373.127044142201,1,1,1
373.129236898477,0,0,1
373.172856160813,1,1,1
374.156843108666,1,1,1
375.035730095859,0,0,1
375.07214128479,1,1,1
375.106310669646,1,0,0
375.144928848733,1,0,1
377.051396445684,1,1,1
377.087803190623,1,1,1
377.12417426497,1,1,1
378.167042044128,0,1,0
378.216503667,0,1,0
379.030686112247,1,0,1
379.067076004777,1,1,1
379.103451701591,1,1,1
380.195742975484,0,1,0
381.04633893879,1,1,1
381.116691234912,0,0,1
383.051492681291,1,0,0
383.061973823269,1,1,1
383.12670158935,1,0,0
385.041247297459,0,0,1
385.176324028226,0,1,1
385.209244802773,0,1,0
386.938784698101,1,1,1
387.035782330147,0,0,1
387.05692392994,1,0,1
387.072164506515,0,0,1
387.09724637405,0,0,1
387.108537109246,0,0,1
387.188485459668,1,1,1
387.191949641051,0,1,1
387.224879236409,0,1,0
388.172501812849,1,1,1
389.051460675204,1,0,1
389.072535459714,1,1,0
389.087797436197,1,0,1
389.12199764657,1,1,1
389.124212180512,1,1,1
389.160577607689,1,0,1
389.189008449217,0,0,1
391.030658021836,1,0,1
391.067072181836,1,1,1
391.103438396276,1,1,1
393.009109750104,0,1,0
393.019393390624,0,0,1
393.046321803348,1,0,1
393.082686187308,1,1,1
393.190982440552,0,1,0
393.987085172931,0,0,1
395.025553889637,0,0,1
395.061963644418,1,1,1
395.222729388366,0,0,1
397.029149649705,1,1,0
397.041265486201,0,0,1
398.072884270867,1,0,0
399.05689320288,1,0,1
399.117561610886,1,0,0
400.954450395906,1,1,0
401.072530312219,1,1,1
401.171278220127,0,0,1
401.204140080444,0,1,1
403.030707164804,0,0,1
403.067062072702,1,0,1
403.103422043992,1,1,1
403.137601432757,0,1,0
403.139842015822,0,0,1
403.183382504284,0,1,1
404.098720755726,1,0,0
405.046340646475,1,1,1
405.082718505381,1,1,1
405.11909766238,1,1,1
405.155524006246,1,1,1
406.077886690361,1,0,0
406.230736710593,1,0,0
407.025605080093,0,0,1
407.061933456416,1,1,1
407.098352639308,1,1,1
407.206625272182,0,1,0
409.041236955638,0,0,1
409.077642662221,1,1,1
409.148055421471,0,1,0
409.17874681503,0,0,1
410.109275434405,1,1,1
411.05684843153,1,1,1
411.090058672936,0,1,1
411.093245879104,1,1,1
413.051437537845,1,0,0
413.072567159976,1,1,1
415.051805542468,1,0,1
415.06708997868,1,0,1
415.088163934559,1,1,1
415.219764365738,0,1,1
416.09940314929,0,1,0
416.2150152138,0,1,0
417.046308622419,1,0,1
417.067450615392,0,0,1
417.082729755436,1,0,1
417.110917101252,1,0,0
417.119104387758,0,0,1
417.155477299405,1,0,0
417.166162779496,0,0,1
417.199108069681,0,1,1
419.02564989881,0,0,1
419.062000617374,1,1,1
419.098346584978,1,0,1
419.134769001433,1,1,1
419.171121992706,1,0,1
420.950809626186,1,1,0
421.041250402563,0,0,1
421.077587970374,1,1,1
421.114012814373,1,1,1
423.051859280408,0,0,1
423.056912426131,1,0,1
423.093256520067,1,1,1
425.052248482963,0,1,0
425.173664486624,0,0,1
426.074248693157,1,1,1
427.051827179376,1,0,1
427.070106927231,0,0,1
427.085894080309,1,0,0
427.088210321811,1,1,1
427.116532815171,1,1,0
429.067478152054,1,0,1
429.082780166243,0,0,1
429.093332582133,1,1,0
429.235474484795,1,1,0
430.19425159059,0,1,0
431.025608144845,0,0,1
431.061989235377,1,1,1
431.083112171686,1,0,1
431.098403029763,1,0,1
431.134790025813,0,0,1
431.17112897083,0,0,1
431.214775341593,0,1,0
433.041278715971,1,0,1
433.077685082233,1,1,1
433.114024792418,1,1,1
433.150430202618,1,1,1
433.186850537169,1,0,0
435.056955274874,1,1,1
435.09330045953,1,1,1
435.12967326314,1,1,1
436.099019933038,0,1,0
437.036189125917,0,0,1
437.072585458072,1,1,1
437.108930056889,1,1,1
437.173693177255,1,0,0
438.10419633434,1,0,0
439.088161062818,1,0,0
440.119827379301,0,0,1
441.067445217603,1,0,1
441.083582920547,1,0,1
441.101538331369,1,0,0
441.128044415927,1,1,1
441.132181024161,0,0,1
441.164378520223,1,0,0
443.025878726226,0,0,1
443.06197252065,0,0,1
443.08312105635,1,0,1
443.098414050448,1,0,1
443.251099249321,0,1,1
444.209932863225,0,1,1
445.041231611724,0,0,1
445.077648929997,1,1,1
445.086904590365,0,0,1
445.098764302069,1,0,1
445.111789114897,1,0,0
445.114028424843,1,0,1
445.193953878212,0,1,1
