,ECA2_0005_01.a_p1,ECA2_0005_02.a_p1,ECA2_0005_03.a_p1,ECA2_0005_04.b_p1,ECA2_0005_05.a_p1,ECA2_0005_06.a_p1,ECA2_0005_07.a_p1,ECA2_0005_08.a_p1,ECA2_0005_09.a_p1,ECA2_0005_10.a_p1
ECA2_0005_01.a_p1,0,0.603027754415475,0.66177908113392,0.909184726522188,0.603047313552526,0.62390158172232,0.775250227479527,0.789268292682927,0.658780709736124,0.631826741996233
ECA2_0005_02.a_p1,0.603027754415475,0,0.628571428571429,0.891891891891892,0.567381974248927,0.662186379928315,0.698364008179959,0.778242677824268,0.587701612903226,0.613065326633166
ECA2_0005_03.a_p1,0.66177908113392,0.628571428571429,0,0.821124361158433,0.679769894534995,0.671460176991151,0.717647058823529,0.771388499298738,0.60678391959799,0.603337612323492
ECA2_0005_04.b_p1,0.909184726522188,0.891891891891892,0.821124361158433,0,0.899793388429752,0.883165829145729,0.864176570458404,0.891944990176817,0.834795321637427,0.831325301204819
ECA2_0005_05.a_p1,0.603047313552526,0.567381974248927,0.679769894534995,0.899793388429752,0,0.714052287581699,0.756657483930211,0.825023518344309,0.658823529411765,0.659633027522936
ECA2_0005_06.a_p1,0.62390158172232,0.662186379928315,0.671460176991151,0.883165829145729,0.714052287581699,0,0.719565217391304,0.770904925544101,0.642411642411642,0.654450261780105
ECA2_0005_07.a_p1,0.775250227479527,0.698364008179959,0.717647058823529,0.864176570458404,0.756657483930211,0.719565217391304,0,0.796897038081805,0.655940594059406,0.724550898203593
ECA2_0005_08.a_p1,0.789268292682927,0.778242677824268,0.771388499298738,0.891944990176817,0.825023518344309,0.770904925544101,0.796897038081805,0,0.762925598991173,0.8
ECA2_0005_09.a_p1,0.658780709736124,0.587701612903226,0.60678391959799,0.834795321637427,0.658823529411765,0.642411642411642,0.655940594059406,0.762925598991173,0,0.579761904761905
ECA2_0005_10.a_p1,0.631826741996233,0.613065326633166,0.603337612323492,0.831325301204819,0.659633027522936,0.654450261780105,0.724550898203593,0.8,0.579761904761905,0
