,ECA2_0005_01.a_p1,ECA2_0005_02.a_p1,ECA2_0005_03.a_p1,ECA2_0005_04.b_p1,ECA2_0005_05.a_p1,ECA2_0005_06.a_p1,ECA2_0005_07.a_p1,ECA2_0005_08.a_p1,ECA2_0005_09.a_p1,ECA2_0005_10.a_p1
ECA2_0005_01.a_p1,0,0.433471654193473,0.476014648145854,1.15416756850142,0.405725798419787,0.350515997872927,0.649211242775155,0.637618796449385,0.489393617339418,0.406846221686736
ECA2_0005_02.a_p1,0.433471654193473,0,0.424791753203711,1.05820180538302,0.330568736536963,0.456168820282576,0.494440832139746,0.612903059404085,0.365335936304464,0.403987925216661
ECA2_0005_03.a_p1,0.476014648145854,0.424791753203711,0,0.870225387373687,0.46659301547271,0.542701838022279,0.60797569673562,0.666021344182017,0.39941107889637,0.374919741866966
ECA2_0005_04.b_p1,1.15416756850142,1.05820180538302,0.870225387373687,0,1.0651500938506,1.16998062658613,1.0871962203225,1.20725163594625,0.904367309527608,0.87114188205499
ECA2_0005_05.a_p1,0.405725798419787,0.330568736536963,0.46659301547271,1.0651500938506,0,0.466796819501141,0.589189732019963,0.731780467080843,0.431321180899363,0.44677288625336
ECA2_0005_06.a_p1,0.350515997872927,0.456168820282576,0.542701838022279,1.16998062658613,0.466796819501141,0,0.597238593816447,0.676903690283566,0.459170708480723,0.466567822588022
ECA2_0005_07.a_p1,0.649211242775155,0.494440832139746,0.60797569673562,1.0871962203225,0.589189732019963,0.597238593816447,0,0.739941843396268,0.470598088090674,0.536080393921301
ECA2_0005_08.a_p1,0.637618796449385,0.612903059404085,0.666021344182017,1.20725163594625,0.731780467080843,0.676903690283566,0.739941843396268,0,0.625754221907662,0.618972470656168
ECA2_0005_09.a_p1,0.489393617339418,0.365335936304464,0.39941107889637,0.904367309527608,0.431321180899363,0.459170708480723,0.470598088090674,0.625754221907662,0,0.381027601782085
ECA2_0005_10.a_p1,0.406846221686736,0.403987925216661,0.374919741866966,0.87114188205499,0.44677288625336,0.466567822588022,0.536080393921301,0.618972470656168,0.381027601782085,0
