,ECA2_0005_01.a_p1,ECA2_0005_02.a_p1,ECA2_0005_03.a_p1,ECA2_0005_04.b_p1,ECA2_0005_05.a_p1,ECA2_0005_06.a_p1,ECA2_0005_07.a_p1,ECA2_0005_08.a_p1,ECA2_0005_09.a_p1,ECA2_0005_10.a_p1
ECA2_0005_01.a_p1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ECA2_0005_02.a_p1,13.8065714311188,NA,NA,NA,NA,NA,NA,NA,NA,NA
ECA2_0005_03.a_p1,5.71839431894374,4.16748547601981,NA,NA,NA,NA,NA,NA,NA,NA
ECA2_0005_04.b_p1,6.97584472270499,5.03885639645502,2.9899856040498,NA,NA,NA,NA,NA,NA,NA
ECA2_0005_05.a_p1,12.0357675449932,6.05376911837924,3.89352831038755,4.87534543411804,NA,NA,NA,NA,NA,NA
ECA2_0005_06.a_p1,2.6266749379624,8.38529592547297,9.37694739910299,9.40911471323471,6.30922264960233,NA,NA,NA,NA,NA
ECA2_0005_07.a_p1,8.77506094026387,3.86494848654375,7.67170718624392,7.62176950605498,6.20506220196186,9.19405224284747,NA,NA,NA,NA
ECA2_0005_08.a_p1,3.40377952980956,2.84074007717995,5.11332784420399,8.92079515576966,5.94332320641781,6.44990445914182,6.68661175354416,NA,NA,NA
ECA2_0005_09.a_p1,10.0594746657797,4.6546255796613,3.2834885063993,3.34135432318921,5.4950363165444,8.04805849330051,4.43536794338528,4.25653712401392,NA,NA
ECA2_0005_10.a_p1,4.77139903172039,5.62133532860176,1.66173670735748,2.43222497536443,6.35344132991401,7.15499529201314,4.11559519136217,1.60249470130369,4.9622152658098,NA
