,ECA2_0036_01.a_p1,ECA2_0036_02.a_p1,ECA2_0036_03.a_p1,ECA2_0036_04.a_p1,ECA2_0036_05.a_p1,ECA2_0036_06.a_p1,ECA2_0036_07.a_p1,ECA2_0036_08.a_p1,ECA2_0036_09.a_p1,ECA2_0036_10.a_p1
ECA2_0036_01.a_p1,0,0.519904613666947,0.595815188668624,0.619797190970726,0.552953708595851,0.74658013956406,0.503431270843473,0.484490234794055,0.461107317042965,0.570610119834173
ECA2_0036_02.a_p1,0.519904613666947,0,0.442602268999004,0.605425260896944,0.586039206964875,0.802621215249419,0.456688230910989,0.493476199979123,0.624767955669145,0.49849647032095
ECA2_0036_03.a_p1,0.595815188668624,0.442602268999004,0,0.453359412283994,0.545969616208901,0.633738456439873,0.416734000243877,0.473853659686047,0.616779501819627,0.39278314251667
ECA2_0036_04.a_p1,0.619797190970726,0.605425260896944,0.453359412283994,0,0.479125045044711,0.365377009257431,0.439830229115081,0.505470782540478,0.532286539676648,0.315211576071378
ECA2_0036_05.a_p1,0.552953708595851,0.586039206964875,0.545969616208901,0.479125045044711,0,0.464466511839845,0.370544808971512,0.325132727737791,0.326604446053424,0.313979572871969
ECA2_0036_06.a_p1,0.74658013956406,0.802621215249419,0.633738456439873,0.365377009257431,0.464466511839845,0,0.51654482099506,0.586670791755813,0.567353433049356,0.335556370478224
ECA2_0036_07.a_p1,0.503431270843473,0.456688230910989,0.416734000243877,0.439830229115081,0.370544808971512,0.51654482099506,0,0.335269671395808,0.457307051705585,0.347398185603159
ECA2_0036_08.a_p1,0.484490234794055,0.493476199979123,0.473853659686047,0.505470782540478,0.325132727737791,0.586670791755813,0.335269671395808,0,0.352942655170739,0.346201358368619
ECA2_0036_09.a_p1,0.461107317042965,0.624767955669145,0.616779501819627,0.532286539676648,0.326604446053424,0.567353433049356,0.457307051705585,0.352942655170739,0,0.41419044562204
ECA2_0036_10.a_p1,0.570610119834173,0.49849647032095,0.39278314251667,0.315211576071378,0.313979572871969,0.335556370478224,0.347398185603159,0.346201358368619,0.41419044562204,0
