,ECA2_0038_01.a_p1,ECA2_0038_02.b_p1,ECA2_0038_03.a_p1,ECA2_0038_04.a_p1,ECA2_0038_05.a_p1,ECA2_0038_06.a_p1,ECA2_0038_07.a_p1,ECA2_0038_08.a_p1,ECA2_0038_09.a_p1,ECA2_0038_10.a_p1
ECA2_0038_01.a_p1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ECA2_0038_02.b_p1,5.53304618370508,NA,NA,NA,NA,NA,NA,NA,NA,NA
ECA2_0038_03.a_p1,7.85389466470552,8.35825654854164,NA,NA,NA,NA,NA,NA,NA,NA
ECA2_0038_04.a_p1,5.37930722771765,6.87830709428825,10.4840120066187,NA,NA,NA,NA,NA,NA,NA
ECA2_0038_05.a_p1,10.6190213654751,10.0256687047191,12.2081237560172,8.3728099095348,NA,NA,NA,NA,NA,NA
ECA2_0038_06.a_p1,10.4294640110501,8.04897415612293,14.478963261899,7.28256303376439,6.60742225783783,NA,NA,NA,NA,NA
ECA2_0038_07.a_p1,5.66839506555161,7.9213264864638,13.7684715556541,3.67536679169783,9.71718129699868,10.6841200476688,NA,NA,NA,NA
ECA2_0038_08.a_p1,4.59961767552143,7.89306745953566,6.59823701733787,6.69506642241789,10.9170204149239,7.35168065711687,6.86599233173251,NA,NA,NA
ECA2_0038_09.a_p1,1.22858160582046,2.85965092768936,8.08587945742061,4.94761427528673,8.48432144624853,6.75600205615846,8.32670363481294,2.47825492660307,NA,NA
ECA2_0038_10.a_p1,4.64058243445077,6.53173785899357,9.6824548895202,6.34094122899599,9.08382301350833,10.1173353868022,10.4647474990537,4.57868981816409,4.18304210306215,NA
