,ECA2_0043_01.a_p1,ECA2_0043_02.a_p1,ECA2_0043_03.a_p1,ECA2_0043_04.a_p1,ECA2_0043_05.a_p1,ECA2_0043_06.b_p1,ECA2_0043_07.a_p1,ECA2_0043_08.a_p1,ECA2_0043_09.a_p1,ECA2_0043_10.a_p1
ECA2_0043_01.a_p1,0,0.565217391304348,0.564102564102564,0.724550898203593,0.824376199616123,0.79275092936803,0.763339070567986,0.634271099744246,0.581863979848867,0.584093872229465
ECA2_0043_02.a_p1,0.565217391304348,0,0.594855305466238,0.74748490945674,0.8359375,0.80566037735849,0.772727272727273,0.655844155844156,0.625157232704402,0.616294349540079
ECA2_0043_03.a_p1,0.564102564102564,0.594855305466238,0,0.736563876651982,0.828668363019508,0.794531897265949,0.753521126760563,0.675324675324675,0.606521739130435,0.624584717607973
ECA2_0043_04.a_p1,0.724550898203593,0.74748490945674,0.736563876651982,0,0.808876811594203,0.770796460176991,0.774478330658106,0.762820512820513,0.751540041067762,0.742245989304813
ECA2_0043_05.a_p1,0.824376199616123,0.8359375,0.828668363019508,0.808876811594203,0,0.812444444444445,0.805510534846029,0.839285714285714,0.831155778894472,0.82776617954071
ECA2_0043_06.b_p1,0.79275092936803,0.80566037735849,0.794531897265949,0.770796460176991,0.812444444444445,0,0.770452740270056,0.80668016194332,0.796692607003891,0.805389221556886
ECA2_0043_07.a_p1,0.763339070567986,0.772727272727273,0.753521126760563,0.774478330658106,0.805510534846029,0.770452740270056,0,0.780555555555556,0.744292237442922,0.761595547309833
ECA2_0043_08.a_p1,0.634271099744246,0.655844155844156,0.675324675324675,0.762820512820513,0.839285714285714,0.80668016194332,0.780555555555556,0,0.612413793103448,0.621968616262482
ECA2_0043_09.a_p1,0.581863979848867,0.625157232704402,0.606521739130435,0.751540041067762,0.831155778894472,0.796692607003891,0.744292237442922,0.612413793103448,0,0.565826330532213
ECA2_0043_10.a_p1,0.584093872229465,0.616294349540079,0.624584717607973,0.742245989304813,0.82776617954071,0.805389221556886,0.761595547309833,0.621968616262482,0.565826330532213,0
