,ECA2_0043_01.a_p1,ECA2_0043_02.a_p1,ECA2_0043_03.a_p1,ECA2_0043_04.a_p1,ECA2_0043_05.a_p1,ECA2_0043_06.b_p1,ECA2_0043_07.a_p1,ECA2_0043_08.a_p1,ECA2_0043_09.a_p1,ECA2_0043_10.a_p1
ECA2_0043_01.a_p1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ECA2_0043_02.a_p1,3.06787626328688,NA,NA,NA,NA,NA,NA,NA,NA,NA
ECA2_0043_03.a_p1,3.91689596269739,5.48735919419991,NA,NA,NA,NA,NA,NA,NA,NA
ECA2_0043_04.a_p1,14.6403553340432,18.9935383655146,9.10909873896477,NA,NA,NA,NA,NA,NA,NA
ECA2_0043_05.a_p1,16.0512483733254,20.7879828138217,12.147372476881,2.90535317063953,NA,NA,NA,NA,NA,NA
ECA2_0043_06.b_p1,19.9210133153602,20.9138024359314,16.1028730090214,3.12786869363423,1.59306378564189,NA,NA,NA,NA,NA
ECA2_0043_07.a_p1,19.5897067071055,22.7299494171606,15.0776252133662,2.58791018200683,0.287697918634276,0.466128266955377,NA,NA,NA,NA
ECA2_0043_08.a_p1,1.57715264690795,4.23520408474406,1.52426898399482,8.94876126136551,9.94370206417885,11.8778436370838,8.1509418454397,NA,NA,NA
ECA2_0043_09.a_p1,2.25881173014821,3.65861524877691,4.87653008713402,13.7505051032539,15.8925782623419,19.2981050580929,13.7772397106731,0.518136777178231,NA,NA
ECA2_0043_10.a_p1,2.2287165204221,3.19912828475894,3.59617746573486,15.4029815401053,16.358291624867,16.4605581568353,16.3750893902511,0.454539475323402,2.49814364290185,NA
