,ECA2_0051_01.a_p1,ECA2_0051_02.a_p1,ECA2_0051_03.a_p1,ECA2_0051_04.a_p1,ECA2_0051_05.a_p1,ECA2_0051_06.a_p1,ECA2_0051_07.a_p1,ECA2_0051_08.a_p1,ECA2_0051_09.a_p1,ECA2_0051_10.a_p1
ECA2_0051_01.a_p1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ECA2_0051_02.a_p1,17.3184847421332,NA,NA,NA,NA,NA,NA,NA,NA,NA
ECA2_0051_03.a_p1,0.907982967385568,11.7492254598797,NA,NA,NA,NA,NA,NA,NA,NA
ECA2_0051_04.a_p1,3.20019351582913,17.7068772322279,1.64096809376401,NA,NA,NA,NA,NA,NA,NA
ECA2_0051_05.a_p1,5.28254807057191,9.62317696822626,5.2192571019231,4.42142718740009,NA,NA,NA,NA,NA,NA
ECA2_0051_06.a_p1,-0.443721622911586,10.2956361396525,-0.628935982131596,1.71562868389792,7.58546863896873,NA,NA,NA,NA,NA
ECA2_0051_07.a_p1,5.21190299799356,9.00021879949461,5.93523546981198,4.23790372417538,0.89758061054359,5.76420978006822,NA,NA,NA,NA
ECA2_0051_08.a_p1,1.88835138125287,16.7425279740456,2.0170209224166,0.142830873526286,4.67829468568025,0.402045976252333,3.51977834477629,NA,NA,NA
ECA2_0051_09.a_p1,0.29857102657794,11.6430451043596,0.216505979480705,0.741854075303851,1.99910281390701,2.13246049740581,2.31359265525201,0.0429677471060809,NA,NA
ECA2_0051_10.a_p1,-2.13365275846041,10.628007998405,-0.983995292612364,-1.92049317661552,3.49133467890397,0.525996889910605,2.39612285014689,-0.970394068520321,2.03543249665459,NA
