,ECA2_0061_01.a_p1,ECA2_0061_02.a_p1,ECA2_0061_03.a_p1,ECA2_0061_04.a_p1,ECA2_0061_05.a_p1,ECA2_0061_06.a_p1,ECA2_0061_07.a_p1,ECA2_0061_08.a_p1,ECA2_0061_09.a_p1,ECA2_0061_10.a_p1
ECA2_0061_01.a_p1,0,0.70440251572327,0.739495798319328,0.702925045703839,0.674134419551935,0.709677419354839,0.7081589958159,0.699410609037328,0.685567010309278,0.69762174405436
ECA2_0061_02.a_p1,0.70440251572327,0,0.74806800618238,0.670813397129187,0.669456066945607,0.662983425414365,0.687363834422658,0.656282450674974,0.675531914893617,0.683901292596945
ECA2_0061_03.a_p1,0.739495798319328,0.74806800618238,0,0.633055344958302,0.71395881006865,0.74400618716164,0.76412213740458,0.689178818112049,0.681240063593005,0.729080364540182
ECA2_0061_04.a_p1,0.702925045703839,0.670813397129187,0.633055344958302,0,0.587378640776699,0.628937007874016,0.66281310211946,0.572946859903382,0.584737363726462,0.632738719832109
ECA2_0061_05.a_p1,0.674134419551935,0.669456066945607,0.71395881006865,0.587378640776699,0,0.567901234567901,0.643543223052295,0.58480749219563,0.585760517799353,0.62253193960511
ECA2_0061_06.a_p1,0.709677419354839,0.662983425414365,0.74400618716164,0.628937007874016,0.567901234567901,0,0.608745684695052,0.604301075268817,0.613762486126526,0.632603406326034
ECA2_0061_07.a_p1,0.7081589958159,0.687363834422658,0.76412213740458,0.66281310211946,0.643543223052295,0.608745684695052,0,0.644654088050314,0.644880174291939,0.646916565900846
ECA2_0061_08.a_p1,0.699410609037328,0.656282450674974,0.689178818112049,0.572946859903382,0.58480749219563,0.604301075268817,0.644654088050314,0,0.584925690021231,0.617848970251716
ECA2_0061_09.a_p1,0.685567010309278,0.675531914893617,0.681240063593005,0.584737363726462,0.585760517799353,0.613762486126526,0.644880174291939,0.584925690021231,0,0.55125
ECA2_0061_10.a_p1,0.69762174405436,0.683901292596945,0.729080364540182,0.632738719832109,0.62253193960511,0.632603406326034,0.646916565900846,0.617848970251716,0.55125,0
