,NA,Lignin,Other,Lignin;Amino Sugar,Protein,Lipid,Lipid;Protein,Cond Hydrocarbon,Tannin,Unsat Hydrocarbon,Amino Sugar,Carbohydrate,Unsat Hydrocarbon;Cond Hydrocarbon,Tannin;Cond Hydrocarbon,Protein;Amino Sugar,Carbohydrate;Amino Sugar,Protein;Lignin,Protein;Lignin;Amino Sugar,Lignin;Tannin
ECA2_0001_10.a_p15,1523,764,317,35,634,131,8,95,128,37,125,104,1,9,18,8,3,1,6
ECA2_0002_01.a_p1,1111,683,384,54,1208,227,18,23,87,73,236,111,1,3,32,24,3,1,6
ECA2_0002_02.a_p08,853,1214,249,78,899,143,12,85,245,29,192,70,1,11,30,15,3,1,11
ECA2_0002_03.a_p08,908,1189,310,88,1091,159,11,69,251,42,232,93,1,12,30,21,3,1,12
ECA2_0002_04.a_p08,577,925,163,59,517,94,7,36,183,18,118,32,1,9,15,8,3,1,11
ECA2_0002_05.a_p08,845,1043,290,69,1114,163,16,58,224,42,207,83,1,10,32,18,3,1,12
ECA2_0002_06.a_p08,809,1101,274,80,1004,130,12,52,239,31,222,79,1,10,33,17,3,1,11
ECA2_0002_07.a_p08,787,1072,275,83,1024,135,13,58,225,25,218,83,1,10,32,20,3,1,15
ECA2_0002_08.a_p08,867,1384,302,87,934,136,12,109,323,35,210,88,3,14,31,15,3,1,15
ECA2_0002_09.a_p08,787,1229,261,80,924,143,13,83,271,25,195,77,1,14,28,14,3,1,16
ECA2_0002_10.a_p08,834,1232,275,82,910,140,10,85,274,30,200,71,2,12,29,18,3,1,16
ECA2_0003_01.a_p1,1107,563,390,53,1198,271,16,63,90,54,222,124,2,9,33,21,3,1,5
ECA2_0003_02.a_p1,1372,470,379,48,1097,207,12,68,105,63,217,122,2,9,34,22,3,1,5
ECA2_0003_03.a_p1,1310,516,425,41,992,243,13,108,136,47,199,111,2,11,32,21,2,1,5
ECA2_0003_04.a_p1,1353,426,416,50,1052,163,13,46,71,60,223,126,2,7,35,26,3,1,4
ECA2_0003_05.a_p1,1363,457,406,44,1039,205,10,51,76,44,207,107,4,5,30,22,3,1,5
ECA2_0003_06.a_p1,1069,525,372,52,1207,203,14,86,165,72,224,125,3,13,32,27,3,1,5
ECA2_0003_07.a_p1,1304,497,404,56,1086,200,13,64,101,55,233,142,2,9,35,26,3,1,4
ECA2_0003_08.a_p1,1327,537,376,52,1069,195,13,96,134,50,222,109,3,11,32,20,3,1,5
ECA2_0003_09.a_p1,1415,583,424,50,1110,221,12,100,114,49,227,128,1,11,33,25,3,1,5
ECA2_0003_10.a_p1,1376,505,383,52,1070,167,11,54,76,51,214,120,1,4,30,22,3,1,5
ECA2_0005_01.a_p1,1044,648,415,57,1291,183,17,94,115,129,254,153,1,12,38,26,3,1,5
ECA2_0005_02.a_p1,1379,636,392,57,1100,148,11,94,122,66,234,131,1,11,35,23,3,1,5
ECA2_0005_03.a_p1,1395,516,386,51,1142,168,13,42,85,82,232,137,1,5,35,22,3,1,5
ECA2_0005_04.b_p1,792,209,156,16,499,99,6,18,21,16,75,34,1,0,8,6,0,0,0
ECA2_0005_05.a_p1,1300,634,372,54,1107,184,14,78,141,90,222,123,1,14,33,19,3,1,6
ECA2_0005_06.a_p1,1103,581,451,65,1316,203,12,50,78,115,273,171,3,3,38,28,3,1,5
ECA2_0005_07.a_p1,1379,469,373,53,1103,130,8,42,75,61,238,148,1,4,34,24,2,1,5
ECA2_0005_08.a_p1,1253,317,290,44,856,108,8,31,29,75,194,107,1,2,35,19,2,1,0
ECA2_0005_09.a_p1,1397,537,383,51,1193,150,12,55,91,82,225,131,1,8,38,23,3,1,5
ECA2_0005_10.a_p1,1405,570,357,54,1132,132,10,61,75,61,236,149,2,6,37,24,3,1,5
ECA2_0006_01.a_p1,898,943,355,61,1015,160,19,234,343,104,218,125,2,20,37,22,3,1,8
ECA2_0006_02.a_p1,896,884,373,60,965,163,14,223,318,101,235,144,2,19,31,22,3,1,7
ECA2_0006_03.a_p1,346,413,118,28,480,34,3,115,169,30,118,49,2,15,17,9,1,0,5
ECA2_0006_04.a_p1,1068,929,367,61,875,113,7,301,361,82,230,135,4,25,29,23,2,1,7
ECA2_0006_05.a_p1,934,1095,356,54,786,115,7,378,388,98,194,112,2,30,26,18,2,1,9
ECA2_0006_06.a_p1,850,961,344,58,873,147,11,342,322,91,225,130,2,21,30,21,4,1,6
ECA2_0006_07.a_p1,969,883,404,53,948,159,15,275,360,129,217,133,2,20,32,22,3,1,7
ECA2_0006_09.a_p1,910,970,373,50,796,134,9,399,412,90,178,102,2,27,25,16,3,1,8
ECA2_0006_10.a_p1,1039,922,379,53,924,140,11,270,388,119,202,94,4,24,33,23,2,1,7
ECA2_0007_01.a_p1,1470,506,394,51,1101,207,16,43,51,54,210,123,3,1,35,21,3,1,4
ECA2_0007_02.a_p1,1162,608,379,52,1067,202,15,54,84,46,225,150,2,4,32,25,3,1,4
ECA2_0007_03.a_p1,1173,587,416,57,1210,240,15,24,78,68,250,141,3,2,36,27,3,1,5
ECA2_0007_04.a_p1,1216,689,402,65,1065,200,16,63,119,63,247,173,2,7,36,28,3,1,5
ECA2_0007_05.a_p1,1241,542,440,60,1221,196,18,25,48,76,252,170,2,1,34,30,3,1,4
ECA2_0007_06.a_p1,1324,540,429,48,1124,212,14,45,71,57,216,126,2,2,32,22,3,1,4
ECA2_0007_07.a_p1,1307,425,350,46,1027,165,11,15,31,47,221,117,2,0,32,23,3,1,0
ECA2_0007_08.a_p1,1232,620,395,52,1144,221,16,59,87,67,226,135,3,7,33,24,3,1,5
ECA2_0007_09.a_p1,1235,462,311,43,926,157,10,33,57,39,184,103,2,4,32,19,3,1,5
ECA2_0007_10.a_p1,1320,426,401,45,1134,170,11,29,48,62,230,130,2,1,32,24,3,1,4
ECA2_0008_01.a_p1,1193,441,308,41,942,170,13,31,57,43,197,91,2,2,30,20,2,1,5
ECA2_0008_02.a_p1,1054,275,199,30,729,120,10,23,36,33,157,69,1,2,26,16,2,1,5
ECA2_0008_03.a_p1,1211,486,356,54,1154,182,14,38,55,55,249,143,1,4,35,26,3,1,4
ECA2_0008_04.a_p1,1277,452,368,49,1119,242,15,42,64,58,221,127,2,3,29,25,3,1,4
ECA2_0008_05.a_p1,1432,385,443,54,1181,192,13,15,46,88,243,131,1,1,34,22,3,1,4
ECA2_0008_06.a_p1,1355,368,379,50,1006,173,14,14,57,57,230,161,1,2,33,27,3,1,4
ECA2_0008_07.a_p1,1253,327,381,47,1154,217,14,14,34,67,224,107,2,0,33,21,2,1,3
ECA2_0008_08.a_p1,1391,333,417,49,1147,230,19,28,28,66,219,115,1,0,32,22,2,1,2
ECA2_0008_09.a_p1,1385,407,413,50,1155,230,14,33,44,87,235,118,2,0,31,24,3,1,3
ECA2_0008_10.a_p1,1403,391,371,49,1094,222,14,34,39,84,232,129,1,0,35,23,3,1,4
ECA2_0009_01.a_p1,1244,270,319,42,963,153,8,15,21,49,208,107,1,0,32,20,2,1,1
ECA2_0009_02.a_p1,1260,270,312,44,965,131,11,12,17,34,191,109,1,0,32,24,3,1,0
ECA2_0009_03.a_p1,1102,238,245,35,852,104,8,11,16,38,177,91,1,0,30,20,2,1,1
ECA2_0009_04.a_p1,1283,360,344,48,1013,148,10,18,32,48,217,117,1,1,35,24,2,1,1
ECA2_0009_05.a_p1,1460,322,422,46,1098,185,13,39,28,52,225,134,1,1,34,24,2,1,1
ECA2_0009_06.a_p1,1396,325,402,50,1150,176,14,27,32,67,224,132,1,3,33,22,3,1,1
ECA2_0009_07.a_p1,1283,274,316,45,953,167,12,15,21,41,205,97,2,0,33,20,2,1,0
ECA2_0009_08.a_p1,1339,329,319,50,953,150,8,20,28,29,216,113,1,0,32,24,2,1,1
ECA2_0009_09.a_p1,1130,271,312,39,964,126,9,18,19,48,191,103,1,0,31,20,2,1,1
ECA2_0009_10.a_p1,1230,268,307,41,931,124,11,16,21,42,199,98,1,0,34,19,3,1,0
ECA2_0010_01.a_p1,1068,792,443,53,1264,245,14,101,134,77,255,112,1,11,33,22,3,1,6
ECA2_0010_02.a_p1,1032,1113,387,44,785,229,11,175,169,48,126,73,1,13,15,8,3,1,5
ECA2_0010_03.a_p1,918,809,348,35,760,216,13,188,168,41,120,60,3,14,14,9,3,1,6
ECA2_0010_04.a_p1,1001,945,378,38,743,229,11,205,171,44,114,64,1,13,14,6,3,1,5
ECA2_0010_05.a_p1,1145,1069,403,44,925,237,14,184,172,52,140,76,1,17,18,10,3,1,6
ECA2_0010_06.a_p1,999,979,353,42,734,204,12,184,167,36,117,62,1,15,11,8,3,1,6
ECA2_0010_07.a_p1,1105,735,439,58,1223,223,13,130,155,87,244,132,2,14,36,28,3,1,6
ECA2_0010_08.a_p1,1112,691,497,52,1327,263,18,85,107,127,244,128,1,10,33,27,3,1,5
ECA2_0010_09.a_p1,1038,878,425,56,1249,250,17,144,168,68,233,123,2,14,32,23,3,1,6
ECA2_0010_10.a_p1,1017,738,345,38,760,207,12,113,125,41,118,64,1,10,15,7,3,1,6
ECA2_0011_01.a_p1,1285,607,436,48,1193,225,13,100,134,62,238,147,1,12,34,25,4,1,5
ECA2_0011_02.a_p1,1294,581,427,47,1159,266,18,98,133,81,220,127,1,12,34,23,3,1,5
ECA2_0011_03.a_p1,1182,740,373,51,1145,192,13,94,136,64,224,127,1,12,31,25,3,1,6
ECA2_0011_04.a_p1,1134,774,381,51,1098,170,14,104,174,79,209,122,2,13,33,23,3,1,6
ECA2_0011_05.a_p1,1264,719,397,54,1008,181,13,65,137,66,224,134,1,9,33,28,3,1,5
ECA2_0011_06.a_p1,1108,869,320,56,961,139,12,184,208,45,218,110,1,18,30,23,3,1,6
ECA2_0011_07.a_p1,1204,743,376,56,1050,184,14,75,162,48,220,120,2,12,33,22,3,1,8
ECA2_0011_08.a_p1,1258,721,291,53,911,131,15,71,158,35,207,133,2,9,32,25,3,1,8
ECA2_0011_09.a_p1,1147,838,356,61,1094,143,11,96,186,56,227,141,1,12,31,25,3,1,8
ECA2_0011_10.a_p1,1369,515,402,53,1159,182,13,52,118,74,226,126,1,9,34,23,3,1,5
ECA2_0013_01.a_p1,1242,667,381,55,1094,208,15,60,110,71,232,119,2,5,33,22,3,1,5
ECA2_0013_02.a_p1,1177,668,334,45,1003,214,16,88,137,70,196,99,2,9,32,21,2,1,5
ECA2_0013_03.a_p1,1174,668,372,50,1137,178,17,59,125,57,224,107,1,7,32,21,3,1,5
ECA2_0013_04.a_p1,971,627,272,46,996,139,11,60,131,46,201,93,2,8,30,22,3,1,5
ECA2_0013_05.a_p1,1081,544,284,49,972,112,12,36,95,30,196,94,2,6,31,22,3,1,5
ECA2_0013_06.a_p1,1040,744,314,49,1120,187,15,75,161,63,211,94,1,11,31,20,3,1,6
ECA2_0013_07.a_p1,1094,688,356,51,1051,194,14,65,145,71,232,111,3,10,32,30,2,1,5
ECA2_0013_08.a_p1,1163,539,382,52,1119,237,13,48,99,91,208,98,1,6,34,23,2,1,5
ECA2_0013_09.a_p1,1085,738,340,54,987,199,14,111,196,53,231,148,2,15,31,27,2,1,6
ECA2_0013_10.a_p1,1130,634,323,51,1059,246,12,50,133,53,214,97,1,10,34,22,3,1,5
ECA2_0016_01.a_p1,1062,1096,271,55,603,88,8,210,240,20,132,64,2,14,21,10,3,1,11
ECA2_0016_02.a_p1,1075,850,210,41,478,70,5,102,160,13,103,52,2,11,11,7,3,1,7
ECA2_0016_03.a_p1,953,827,255,45,649,77,4,136,193,16,146,56,1,15,20,13,3,1,6
ECA2_0016_04.a_p1,978,862,241,44,643,81,7,118,189,16,143,63,1,12,22,12,3,1,7
ECA2_0016_05.a_p1,1094,966,296,53,773,110,9,133,173,17,168,77,1,11,24,15,3,1,9
