,CHONP,CHONS,CHON,CHOS,CHO,CHOSP,CHONSP,CHOP
ECA2_0001_10.a_p15,107,48,244,111,1191,47,38,638
ECA2_0002_01.a_p1,355,37,281,72,1509,44,61,815
ECA2_0002_02.a_p08,168,37,460,185,1649,59,24,706
ECA2_0002_03.a_p08,276,37,474,135,1793,51,45,804
ECA2_0002_04.a_p08,54,25,300,77,1189,38,9,508
ECA2_0002_05.a_p08,281,39,422,121,1676,49,39,759
ECA2_0002_06.a_p08,221,35,409,145,1681,39,33,737
ECA2_0002_07.a_p08,238,28,390,134,1686,48,31,738
ECA2_0002_08.a_p08,221,40,544,212,1799,68,48,770
ECA2_0002_09.a_p08,189,39,448,180,1710,59,20,733
ECA2_0002_10.a_p08,201,38,463,182,1702,67,32,705
ECA2_0003_01.a_p1,420,38,269,116,1413,30,56,776
ECA2_0003_02.a_p1,394,42,243,75,1287,55,54,714
ECA2_0003_03.a_p1,350,60,221,84,1385,62,71,672
ECA2_0003_04.a_p1,380,44,209,120,1165,54,65,687
ECA2_0003_05.a_p1,373,55,221,117,1178,47,60,665
ECA2_0003_06.a_p1,407,34,242,71,1554,36,63,722
ECA2_0003_07.a_p1,402,49,229,144,1267,61,61,718
ECA2_0003_08.a_p1,380,36,202,64,1444,52,65,685
ECA2_0003_09.a_p1,382,53,233,159,1427,53,73,717
ECA2_0003_10.a_p1,364,47,223,78,1220,49,61,727
ECA2_0005_01.a_p1,474,47,382,93,1537,52,57,800
ECA2_0005_02.a_p1,378,54,293,88,1399,50,55,753
ECA2_0005_03.a_p1,409,54,256,76,1284,51,68,728
ECA2_0005_04.b_p1,60,22,76,53,558,15,24,356
ECA2_0005_05.a_p1,376,57,286,83,1453,51,82,708
ECA2_0005_06.a_p1,468,56,386,106,1425,51,84,820
ECA2_0005_07.a_p1,369,52,253,76,1160,52,58,751
ECA2_0005_08.a_p1,306,50,204,74,833,43,37,572
ECA2_0005_09.a_p1,396,47,282,108,1295,47,79,735
