,AI.mean,AI.median,AI.sd,AI_Mod.mean,AI_Mod.median,AI_Mod.sd,DBE.mean,DBE.median,DBE.sd,DBE_O.mean,DBE_O.median,DBE_O.sd,KenMass.mean,KenMass.median,KenMass.sd,KenDef.mean,KenDef.median,KenDef.sd,NOSC.mean,NOSC.median,NOSC.sd,HtoC.mean,HtoC.median,HtoC.sd,OtoC.mean,OtoC.median,OtoC.sd,NtoC.mean,NtoC.median,NtoC.sd,PtoC.mean,PtoC.median,PtoC.sd,NtoP.mean,NtoP.median,NtoP.sd,GFE_0.mean,GFE_0.median,GFE_0.sd,GFE_7.mean,GFE_7.median,GFE_7.sd,GFEperC_0.mean,GFEperC_0.median,GFEperC_0.sd,GFEperC_7.mean,GFEperC_7.median,GFEperC_7.sd,lambdaO2_0.mean,lambdaO2_0.median,lambdaO2_0.sd,lambdaO2_7.mean,lambdaO2_7.median,lambdaO2_7.sd
ECA2_0001_10.a_p15,0.0584749300806944,0,0.156719455520566,0.178830593328981,0.111111111111111,0.210007089614628,7.12747524752475,6,4.47599227781213,-1.76650165016502,-2,5.10055065424045,424.334335784966,414.673997483947,116.195500967073,0.372530189191102,0.333622417341189,0.185027222585842,-0.458977800263674,-0.533333333333333,0.654750193609484,1.41688013787929,1.44444444444444,0.405485404983238,0.486668739388122,0.478260869565217,0.185120068635603,0.0201312845757806,0,0.0563412618220006,0.0186844944851113,0,0.0278293903010651,0.275903614457831,0,0.704815482264682,1454.5353960396,1412.55,648.120281410652,-2842.90922550896,-2750.70739565358,909.466387438688,73.3808673075147,75.5,18.6603805178703,-145.766452667841,-146.447476327485,9.20969124164357,0.0541971206006279,0.048644275095732,0.0241934733960374,0.0476492844278302,0.043234338886597,0.0201132345387029
ECA2_0002_01.a_p1,0.03882046525489,0,0.122815126402362,0.116084799470252,0.0344827586206897,0.16181210884551,6.60176433522369,6,4.25712469380394,-2.64681789540013,-4,5.45373004490437,440.694348702506,432.661228754053,114.21982442674,0.329688637050233,0.324066631518235,0.116992594803179,-0.671427264495246,-0.727272727272728,0.512546620441509,1.53376977831672,1.57894736842105,0.324396267256198,0.451133691877499,0.45,0.170807918818012,0.017087897198629,0,0.043437219313599,0.0200190452690424,0,0.0259826744455291,0.389803921568627,0,0.623498164811309,1759.58875236295,1719,668.942212914909,-3245.66862569744,-3152.06888933713,1018.20523278957,79.4356770381145,81.0272727272727,14.607578682583,-148.254515663157,-149.014086238797,7.48619292825813,0.045253735538251,0.0397392032380167,0.0207856108592503,0.0402442779735695,0.0356761678253541,0.0179105585090541
ECA2_0002_02.a_p08,0.0373013921974423,0,0.107833341722807,0.164421614885542,0.12,0.170411639069124,7.57846715328467,7,3.9199378605639,-2.18035279805353,-3,4.20584042003565,433.941034065904,427.6570278221,105.592149636215,0.338367044938378,0.335127732005958,0.111050609431992,-0.428439697206526,-0.461538461538462,0.575723821972166,1.39883839181877,1.4,0.333583205587905,0.489615329690952,0.5,0.15612106341157,0.0182112634312531,0,0.0478897577793904,0.0149891664115192,0,0.0243928878998316,0.240334378265413,0,0.539954954148369,1514.3897810219,1481.1,571.849617581647,-3000.18794411062,-2930.8766488118,847.752430149269,72.510531370386,73.4538461538462,16.4081289262067,-145.07597420127,-145.636670890463,8.43157691330794,0.0509272662632484,0.0465590375374483,0.0203491775886656,0.0449345110266805,0.0411695151422905,0.0173911371516164
ECA2_0002_03.a_p08,0.0372686291897957,0,0.110105011180196,0.152264860918439,0.1,0.16911601249071,7.60636237897649,7,4.17581428241468,-2.39585062240664,-3,4.7460273125652,450.962702919763,444.666349802268,111.016932873416,0.343951955320263,0.342807567792306,0.106012365200867,-0.478598679487465,-0.526315789473684,0.562965549689803,1.42713261894238,1.45,0.335322015779939,0.483989102445267,0.481481481481481,0.160940729717176,0.0175790745092662,0,0.0439124378968914,0.0163110564707553,0,0.0247154869125693,0.323979591836735,0,0.587503753186892,1623.37385892116,1567.8,632.553124537684,-3162.2455526449,-3076.20739565358,943.953926372399,73.9400623653927,75.3,16.0445181661594,-145.739297818468,-146.517735763941,8.1239662261795,0.0482229853335895,0.0435872598930757,0.0201495947064597,0.0426051548113675,0.0387516325184424,0.0172012648480208
ECA2_0002_04.a_p08,0.0334902577629279,0,0.0972483018047692,0.176400881566265,0.153846153846154,0.16208746285359,7.60090909090909,7,3.68493104034343,-1.91045454545455,-2,3.66511767348081,416.561011055565,414.652947326858,92.4155839685182,0.333839502591272,0.329370097267429,0.115757956500865,-0.404955932964507,-0.406896551724138,0.56987056082529,1.37500905549806,1.35294117647059,0.324073502139562,0.493605990687906,0.5,0.152086620685163,0.0162599640527754,0,0.0453560972348687,0.0149157236362427,0,0.024957227698925,0.139573070607553,0,0.467946748612246,1422.87381818182,1396.8,471.769414444817,-2858.90693084581,-2833.17661242969,695.477390992577,71.8412440894884,71.8965517241379,16.2413109835208,-144.822349462686,-144.829792824619,8.41029645260294,0.0523960513876152,0.0486999321268281,0.0178290265240531,0.0461953496925873,0.0431318293457694,0.0152083315356326
ECA2_0002_05.a_p08,0.0326354698776229,0,0.106668775113929,0.142120791574925,0.0833333333333333,0.165753479817605,7.23124630832841,7,4.00331967640428,-2.62463083284111,-3,4.50949779858391,446.704349862069,440.647612812803,109.314088425872,0.338429622686097,0.335215438628438,0.108332598276345,-0.511343752531495,-0.571428571428571,0.568086541827397,1.45303128775159,1.48267622461171,0.337137487673449,0.481923587658421,0.478260869565217,0.159927962442184,0.0176346954111695,0,0.0442355677033412,0.0168453656304605,0,0.025033414675782,0.328900709219858,0,0.575280369807558,1622.77911990549,1567.8,620.611682060155,-3131.11465405751,-3050.5304194028,915.565443945542,74.8732969471476,76.5857142857143,16.1904664420808,-146.150618926949,-147.10511234626,8.18623244575403,0.0481631864423294,0.0435872598930757,0.0203118168041852,0.0425919229558285,0.0388034425950114,0.0173570172525556
ECA2_0002_06.a_p08,0.0314457504419703,0,0.100633574875033,0.148015108353769,0.0967741935483871,0.164315379943741,7.42515151515151,7,4.03705601726356,-2.57545454545455,-3,4.44849313640659,445.112688339159,440.639608889938,108.060491140986,0.341680120320267,0.339015944012203,0.107664778846076,-0.471806426471442,-0.518518518518518,0.561308882415176,1.43094660818864,1.45,0.331530666911195,0.489999405231406,0.5,0.155430364634784,0.0163703859981433,0,0.041744586709255,0.0159175126238406,0,0.0247493072405631,0.292233009708738,0,0.570609842109489,1584.41663636364,1544.7,597.438213312369,-3098.56123607672,-3027.62273269236,891.128700398505,73.7464831544361,75.0777777777778,15.9973031488325,-145.683219018464,-146.341522789246,8.06842331131335,0.0489143362349718,0.0447746804345579,0.0196032571153327,0.0432017280985989,0.0394990465170448,0.0166797167842902
ECA2_0002_07.a_p08,0.0328227667260371,0,0.104475186562449,0.14650094926528,0.0909090909090909,0.165760644187429,7.42210750075919,7,4.05937369001023,-2.58943212875797,-3,4.48383461501693,447.612656832964,442.646445441229,110.314752575743,0.34371571605596,0.340928084704075,0.109589526977817,-0.483569240613229,-0.526315789473684,0.555472010025037,1.43523941701846,1.46153846153846,0.332416526156512,0.487959940181354,0.483870967741935,0.154146133981429,0.0159615154185058,0,0.0412321967326424,0.0163071403205212,0,0.0248856308156903,0.285308056872038,0,0.527356260155105,1600.11819010021,1554.6,599.15909120503,-3119.88302568439,-3050.5304194028,898.219433137075,74.081723357477,75.3,15.8309522857136,-145.861097140699,-146.546871387625,8.01257562577624,0.048511725076109,0.0444985717463252,0.0195952255263924,0.0428631711644358,0.0390441928189635,0.0167314574042967
ECA2_0002_08.a_p08,0.0395495816101809,0,0.113260780017076,0.170196244489013,0.130434782608696,0.173249629513753,8.06509994597515,8,4.34972477561749,-2.12965964343598,-3,4.63244444926875,451.17544261799,442.725730480893,111.655188077259,0.35618355841656,0.352710757122111,0.113708795069375,-0.393946554396162,-0.421052631578948,0.572453799227847,1.38148680711552,1.375,0.341225186642728,0.497370072095406,0.5,0.159919311602126,0.0189686934401275,0,0.0459881762722451,0.0152899650072495,0,0.0245571961395469,0.308943089430894,0,0.62377653372638,1536.31726094003,1487.7,581.127335877831,-3083.21906510604,-3012.97276907447,893.615865076641,71.5274768002906,72.3,16.3149332779936,-144.691924617212,-145.196138453723,8.34022226650497,0.0500666277548521,0.0460282006642857,0.0196787703875949,0.0441315556872566,0.0406176533907585,0.0167896968374242
ECA2_0002_09.a_p08,0.0351046674972459,0,0.106594253661437,0.161315042575137,0.118823529411765,0.169258257348995,7.67910005920663,7,4.06805245469046,-2.30550621669627,-3,4.27132485829862,442.65461677309,436.742919671482,106.377188805966,0.344662938794672,0.339884437105582,0.110849979000133,-0.430151554401575,-0.461538461538462,0.574540906686374,1.40201516428057,1.4,0.337233470311574,0.493202655900347,0.5,0.156034521277103,0.0169949699502142,0,0.0439092530758391,0.015357822832539,0,0.0247026872833872,0.245754245754246,0,0.534363598633417,1537.56163410302,1491,574.437314941406,-3049.58430318017,-2974.66892571924,855.116167706418,72.5593193004449,73.4538461538462,16.3744158405617,-145.169289155619,-145.810520855919,8.28458229328881,0.0499171844903574,0.0460282006642857,0.0194108679988587,0.0440303955345386,0.0406227067597142,0.0164986843164206
