Column_or_Row_Name,Unit,Definition,Missing_Value_Codes
AI,N/A,Aromaticity index calculated as per Koch and Dittmar; 2006; 2015.,N/A; -9999; NA
AI_Mod,N/A,Modified aromaticity index calculated as per Koch and Dittmar; 2006; 2016.,N/A; -9999; NA
betadisp,N/A,Variation in dissimilarity (beta dispersion).,N/A; -9999; NA
bMNTD_Jacc_pval,N/A,Regression p-value for relationship between beta mean nearest taxon distance (bMNTD) and Jaccard distances.,N/A; -9999; NA
bMNTD_Jacc_Rsq,N/A,Regression R-squared value for relationship between beta mean nearest taxon distance (bMNTD) and Jaccard distances.,N/A; -9999; NA
bMNTD_Jacc_Slope,N/A,Regression slope value for relationship between beta mean nearest taxon distance (bMNTD) and Jaccard distances.,N/A; -9999; NA
bs1_class,N/A,Boundaries used to assign compound classes to molecular formula. Boundary sets 1 are Van Krevelen-based (Kim et al.; 2003 & Bailey et al.; 2017).,N/A; -9999; NA
bs2_class,N/A,Boundaries used to assign compound classes to molecular formula. Boundary sets 2 are Van Krevelen-based (Kim et al.; 2003 & Bailey et al.; 2017).,N/A; -9999; NA
bs3_class,N/A,Boundaries used to assign compound classes to molecular formula. Boundary sets  3 further integrate stoichiometry to assign modified compound classes (Rivas-Urbach et al.; 2018).,N/A; -9999; NA
C,N/A,Carbon atoms in the analyzed molecule. Identified by an algorithm in Kujawinski and Behn 2006 and modified as described in Tfaily et al.; 2017.,N/A; -9999; NA
C13,N/A,Isotopic atoms in the analyzed molecule. Identified by an algorithm in Kujawinski and Behn 2006 and modified as described in Tfaily et al.; 2017.,N/A; -9999; NA
Candidates,N/A,Number of possible known molecules the analyzed molecule could be. Assigned by checking against a known database. Value of -1 when molecule was not checked against database.,N/A; -9999; NA
Class,N/A,Inferred chemical classes as per Kim et al.; 2003.,N/A; -9999; NA
Column_or_Row_Name,N/A,Column or row headers from each csv file in the dataset.,N/A; -9999; NA
Date_time.x,MM/DD/YY HH:mm,The date and time when the wet weight was recorded.,N/A; -9999; NA
Date_time.y,MM/DD/YY HH:mm,The date and time when the dry weight was recorded.,N/A; -9999; NA
DBE,N/A,Double bond equivalent or degree of unsaturation calculated as per Koch and Dittmar; 2006; 2017.,N/A; -9999; NA
