ID_scanned,Wet_weight_g_tube.without.cap,Date_time.x,true_wet_weight_g,Weight_dry_g,Date_time.y,true_dry_weight_g,percent_water_content_dry,percent_water_content_wet
ECA2_0001_01_SM,31.29,11/22/20 12:30,24.632,25.93,11/24/20 13:00,19.272,27.8123702781237,21.7603117895421
ECA2_0001_02_SM,54.11,11/22/20 12:30,47.452,43.06,11/24/20 13:00,36.402,30.3554749739025,23.2866897074939
ECA2_0001_03_SM,42.19,11/22/20 12:30,35.532,34.26,11/24/20 13:00,27.602,28.7298021882472,22.317910615783
ECA2_0001_04_SM,42.57,11/22/20 12:30,35.912,33.51,11/24/20 13:00,26.852,33.7405035006704,25.2283359322789
ECA2_0001_05_SM,64.97,11/22/20 12:30,58.312,52.15,11/24/20 13:00,45.492,28.1807790380726,21.9851831526958
ECA2_0001_06_SM,55.17,11/22/20 12:30,48.512,46.82,11/24/20 13:00,40.162,20.7907972710522,17.2122361477573
ECA2_0001_07_SM,43.87,11/22/20 12:30,37.212,34.23,11/24/20 13:00,27.572,34.9630059480633,25.9056218424164
ECA2_0001_08_SM,55.87,11/22/20 12:30,49.212,44.81,11/24/20 13:00,38.152,28.9893059341581,22.4741932861904
ECA2_0001_09_SM,47.49,11/22/20 12:30,40.832,38.68,11/24/20 13:00,32.022,27.5123352695022,21.5762147335423
ECA2_0001_10_SM,49.08,11/22/20 12:30,42.422,35.8,11/24/20 13:00,29.142,45.5699677441493,31.30451180991
ECA2_0002_01_SM,60.29,10/20/2020 14:00,53.632,48.91,10/23/20 10:15,42.252,26.9336362775727,21.2186754176611
ECA2_0002_02_SM,62.32,10/20/2020 14:00,55.662,48.25,10/23/20 10:15,41.592,33.8286208886324,25.2775681793683
ECA2_0002_03_SM,53.83,10/20/2020 14:00,47.172,43.67,10/23/20 10:15,37.012,27.4505565762455,21.5382006274909
ECA2_0002_04_SM,60.31,10/20/2020 14:00,53.652,46.93,10/23/20 10:15,40.272,33.2240762812873,24.9384925072691
ECA2_0002_05_SM,57.64,10/20/2020 14:00,50.982,46.41,10/23/20 10:15,39.752,28.250150935802,22.0273822133302
ECA2_0002_06_SM,52.59,10/20/2020 14:00,45.932,42.35,10/23/20 10:15,35.692,28.6899024991595,22.2938256553166
ECA2_0002_07_SM,65.79,10/20/2020 14:00,59.132,52.14,10/23/20 10:15,45.482,30.0118728288114,23.0839477778529
